"Realm","Character","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Limit Break Bonus","Mastery Bonus","Relic","Name (JP)","ID"
"IV","Fusoya","Prayer to the Moon","LBO","WHT","Single enemy","Magical","126.80","Holy","2.50","Five single attacks (3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Reticent Staff (IV)","月への祈り","20730017"
"IV","Fusoya","Woven Bond: FuSoYa (Holy)","LBC","WHT","Single enemy","Magical","27.00","Holy","0.01","Ten single attacks (2.70 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (FuSoYa Holy)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Samite Robe (IV)","紡絆・フースーヤ聖","20730022"
"IV","Golbez","True Shadow Dragon","LBO","BLK","Single enemy","Magical","120.00","Dark","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demon's Vest (IV)","真・黒竜召喚","20630022"
"IV","Golbez","Woven Bond: Golbez (Dark)","LBC","BLK","Single enemy","Magical","26.00","Dark, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode (Golbez - Dark)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Wicked Hand (IV)","紡絆・ゴルベーザ闇","20630024"
"IV","Porom","Bond Flash (Porom)","LBG","NAT","All allies","","","","0.01","Grants [HP Stock (2000)], grants [ATK, DEF, MAG and RES +30% (25s)] if 4+ FF4 allies are alive","N","All allies","0","Prismatic Damage Up","MND +10","Renewing Morion (IV)","絆閃【ポロム】","22220013"
"IV","Rubicante","Flamelord's Flail","LBO","BLK","Single enemy","Magical","120.00","Fire","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Martial Garb (IV)","炎武の猛攻","22870016"
"IV","Rubicante","Woven Bond: Rubicante (Fire)","LBC","BLK","Single enemy","Magical","26.00","Fire","0.01","Ten single attacks (2.60 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Rubicante (Fire)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Mythril Gloves (IV)","紡絆・ルビカンテ炎","22870019"
"IV","Rubicante","Spiraling Flash: Rubicante","LBG","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 40% (5s)] to target, grants [Quick Cast 2] to all allies.","N","Lowest HP% enemy","0","Fire Damage Up","MAG +10","Wyvern Claws (IV)","降閃【ルビカンテ】","22870020"
"IV","Barbariccia","Harsh Wind","LBO","BLK","Single enemy","Magical","120.00","Wind","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Man-Eater (IV)","ぼうふう","23220008"
"IV","Barbariccia","Woven Bond: Barbariccia (Wind)","LBC","BLK","Single enemy","Magical","26.00","Wind, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode (Barbariccia - Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Adamant Bangle (IV)","紡絆・バルバリシア風","23220020"
"IV","Cid (IV)","Woven Bond: Cid (IV)","LBC","PHY","Single enemy","Physical","8.00","Lightning, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates IV Chain (max 150, field +0%) or adds 25 to the current IV Chain maximum limit, grants [Chain Force Mode: Cid (IV)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Francisca (IV)","紡絆・シド(IV)","22570021"
"IV","Ceodore","Vibra Plus","LBO","PHY","Single enemy","Physical","32.00","Holy","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [High Quick Cast 2] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Lustrous Sword-C (IV)","バイブレイ・セカンド","22720011"
"IV","Ceodore","Divine Flash (Ceodore)","LBG","PHY","Single enemy","Physical","3.36","Holy, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Holy Damage Up","ATK +10","Tyrfing (IV)","聖閃【セオドア】","22720013"
"IV","Ceodore","Woven Bond: Ceodore (Holy)","LBC","PHY","Single enemy","Physical","8.00","Holy, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit, grants [Chain Force Mode (Ceodore)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Azure Gilet (IV)","紡絆・セオドア聖","22720019"
"IV","Tellah","Earth Flash (Tellah)","LBG","BLK","Single enemy","Magical","7.50","Earth, NE","0.01","One single attack (7.50) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Earth Damage Up","MAG +10","Enchanted Rod (IV)","地閃【テラ】","20640014"
"IV","Tellah","Woven Bond: Tellah (Earth)","LBC","BLK","Single enemy","Magical","26.00","Earth, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Tellah)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Wizard's Robes (IV)","紡絆・テラ地","20640018"
"IV","Tellah","Sage's Hankering","LBO","BLK","Single enemy","Magical","120.00","Earth","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Earth Staff (IV)","賢者の本懐","20640022"
"IV","Yang","Woven Bond: Yang","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates IV Chain (max 150, field +0%) or adds 25 to the current IV Chain maximum limit, grants [Chain Force Mode (Yang)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Gaia Claws (IV)","紡絆・ヤン","22340012"
"IV","Edward","Woven Bond: Edward","LBC","BLK","Single enemy","Magical","26.00","Holy, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates IV Chain (max 150, field +0%) or adds 25 to the current IV Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Edward)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Divine Harp (IV)","紡絆・ギルバート","22350012"
"IV","Ursula","Woven Bond: Ursula","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates IV Chain (max 150, field +0%) or adds 25 to the current IV Chain maximum limit, grants [Chain Force Mode (Ursula)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Clock Hand (IV)","紡絆・アーシュラ","23030018"
"V","Galuf","Gaia Gazer","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Adept's Armlet (V)","ガイアゲイザー","20650016"
"V","Galuf","Woven Bond: Galuf (Earth)","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Galuf)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Motor Drive (V)","紡絆・ガラフ地","20650024"
"V","Faris","Serpent's Roar","LBO","PHY","Single enemy","Physical","32.00","Wind, Fire","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Viking Coat (V)","海竜の咆哮","20930018"
"V","Faris","Guardian Syldra","LBGS","NAT","Self","","","","0.01","Summons Syldra for 5 seconds, grants [Protect], [Shell], [Haste], [Last Stand], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Wind 3 with Stacking] and [Damage Cap +20000] to Syldra","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Brave Suit (V)","Gシルドラ","20930028"
"V","Faris","Woven Bond: Faris (Wind)","LBC","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Faris)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Crystal Cross (V)","紡絆・ファリス風","20930032"
"V","Faris","Woven Bond: Faris","LBC","PHY","Single enemy","Physical","8.00","Wind, Fire, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, element of entry damage changes to Fire/NE if the user has Attach Fire, Wind/NE otherwise, activates V Chain (max 150, field +0%) or adds 25 to the V Fire Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Faris)] and [Instant ATB 1] to the user
","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Thief's Knife (V)","紡絆・ファリス風","20930034"
"V","Bartz","Element Bringer","LBO","PHY","Single enemy","Physical","32.00","Fire, Water, Wind, Earth","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Element Bringer (V)","エレメントブリンガー","20400029"
"V","Bartz","Woven Bond: Bartz (Wind)","LBC","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode (Bartz - Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Wing Sword (V)","紡絆・バッツ風","20400063"
"V","Krile","Earth Raiment (Krile)","LBG","NAT","All allies","","","","0.01","Grants [Attach Earth]","N","All allies","250","Earth Damage Up","MAG +10","Earth Whip (V)","地装【クルル】","20940023"
"V","Krile","Starfall Devastation","LBO","BLK","Single enemy","Magical","72.00","Fire, Earth","2.50","Three single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, grants [50% Damage Reduction Barrier 2] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Steel Snake (V)","いんせき大破壊","20940024"
"V","Krile","Woven Bond: Krile (Fire)","LBC","BLK","Single enemy","Magical","26.00","Fire, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Krile)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","","紡絆・クルル炎","20940036"
"V","Krile","Spiraling Flash (Krile)","LBG","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 40% (5s)] and [Imperil Earth 40% (5s)] to target, grants [Quick Cast 2] to all allies.","N","Lowest HP% enemy","0","Fire Damage Up, Earth Damage Up","MAG +10","Faerie Rod (V)","降閃【クルル】","20940037"
"V","Gilgamesh","Captain's Duel","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Viper Halberd (V)","親衛隊長の一騎討ち","20810019"
"V","Gilgamesh","Woven Bond: Gilgamesh (Fire)","LBC","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Gilgamesh - Fire)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Heike's Blade (V)","紡絆・ギルガメッシュ炎","20810031"
"V","Gogo (V)","Aqua Breath Mastery","LBO","BLK","Single enemy","Magical","96.00","Water","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, casts the last ability used by any ally, default ability (PHY: single, 1.50 physical)","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ruby Cuirass (V)","アクアブレスの極意","22730010"
"V","Gogo (V)","Woven Bond: Gogo (V) (Water)","LBC","BLK","Single enemy","Magical","26.00","Water, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Water Chain (max 150, field +0%) or adds 25 to the current Water Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Gogo (V) - Water)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Nu Khai Armband (V)","紡絆・ものまねしゴゴ水","22730023"
"V","Exdeath","100 Gs","LBO","BLK","Single enemy","Magical","96.00","Dark, Holy","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Bone Wrist (V)","じゅうりょく100","22080020"
"V","Kelger","Dawn Guidance","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Iga Blade (V)","暁の導き","22510009"
"V","Kelger","Woven Bond: Kelger (Earth)","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode (Kelger)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Blurry Moon (V)","紡絆・ケルガー地","23170016"
"V","Dorgann","Gaia Sword Art","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Force Saber (V)","大地の剣技","22510017"
"V","Dorgann","Woven Bond: Dorgann (V)","LBC","PHY","Single enemy","Physical","","Earth, NE","0.01","Ten single attacks (? each) capped at 19999, activates V Chain (max 150, field +0%) or adds 25 to the current V Chain maximum limit, grants [Chain Force Mode (Dorgann - V)] and [Instant Cast 1] to the user","N","Lowest HP% enemy","250","","","","紡絆・ドルガン","22510020"
"V","Xezat","Spellsteel Roarfrost","LBO","PHY","Single enemy","Physical","32.00","Earth, Ice, Lightning","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Hoarfrost Mace (V)","魔法剣覇技・氷鳴刃","23160015"
"V","Xezat","Woven Bond: Xezat (V)","LBC","PHY","Single enemy","Physical","","Earth, NE","0.01","Ten single attacks (? each) capped at 19999, activates V Chain (max 150, field +0%) or adds 25 to the current V Chain maximum limit, grants [Chain Force Mode (Xezat)] and [Instant Cast 1] to the user","N","Lowest HP% enemy","250","","","","紡絆・ゼザ","23160020"
"VI","Terra","Half-Esper Might","LBO","BLK","Single enemy","Magical","96.00","Fire, Wind","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demonsbane (VI)","人と幻獣の力","20100022"
"VI","Terra","Fire Raiment (Terra)","LBG","NAT","All allies","","","","0.01","Grants [Attach Fire]","N","All allies","250","Fire Damage Up","MAG +10","Wildfire Saber (VI)","炎装【ティナ】","20100025"
"VI","Terra","Guardian Maduin","LBGS","NAT","Self","","","","0.01","Summons Maduin for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Fire 3 with Stacking] and [Damage Cap +20000] to Maduin","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Chaperon (VI)","Gマディン","20100037"
"VI","Terra","Woven Bond: Terra - Wind","LBC","BLK","Single enemy","Magical","26.00","Wind, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode (Terra - Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Laevateinn (VI)","紡絆・ティナ風","20100041"
"VI","Terra","Woven Bond: Terra","LBC","BLK","Single enemy","Magical","26.00","Fire, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates VI Chain (max 150, field +0%) or adds 25 to the current VI Chain maximum limit, grants [Chain Force Mode (Terra - VI)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Bountiful Vestment (VI)","紡絆・ティナ","20100042"
"VI","Terra","Woven Bond: Terra (Fire)","LBC","BLK","Single enemy","Magical","26.00","Fire, Wind, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode (Terra - Fire)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Platinum Sword (VI)","紡絆・ティナ炎","20100044"
"VI","Locke","Fire Raiment (Locke)","LBG","NAT","All allies","","","","0.01","Grants [Attach Fire]","N","All allies","250","Fire Damage Up","ATK +10","Zwill Blade (VI)","炎装【ロック】","20240021"
"VI","Locke","Guardian Phoenix","LBGS","NAT","Self","","","","0.01","Summons Phoenix for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Fire 3 with Stacking] and [Damage Cap +20000] to Phoenix","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Double-Edge (VI)","Gフェニックス","20240025"
"VI","Locke","Woven Bond: Locke (Fire)","LBC","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode (Locke)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Survival Edge (VI)","紡絆・ロック炎","20240033"
"VI","Locke","Mirage Passion","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Dancing Dagger (VI)","ミラージュパッション","20240034"
"VI","Kefka","Dark Raiment (Kefka)","LBG","NAT","All allies","","","","0.01","Grants [Attach Dark]","N","All allies","250","Dark Damage Up","MAG +10","Madhura Harp (VI)","闇装【ケフカ】","22070012"
"VI","Kefka","Catastrophe Zero","LBO","BLK","Single enemy","Magical","120.00","Dark, Poison","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, deals 1000 BLK magical damage to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demon's Rod (VI)","カタストロフ・ゼロ","22070014"
"VI","Strago","Jet Splash","LBO","BLK","Single enemy","Magical","96.00","Water","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, grants [Magical Blink 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Rune Staff (VI)","ジェットスプラッシュ","20720011"
"VI","Edgar","Royal Blast","LBO","PHY","Single enemy","Physical","32.00","Poison, Fire, Lightning","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Auto Crossbow (VI)","ロイヤルブラスト","20530016"
"VI","Edgar","Woven Bond: Edgar","LBC","PHY","Single enemy","Physical","8.00","Poison, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, element of entry damage changes from Poison/NE to Fire/NE or Lightning/NE if the user has any Attach Fire or Attach Lightning, activates VI Chain (max 150, field +0%) or adds 25 to the current VI Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Edgar)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Black Bolts (VI)"," 紡絆・エドガー","20530029"
"VI","Edgar","Woven Bond: Edgar (Poison)","LBC","PHY","Single enemy","Physical","8.00","Poison, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Poison Chain (max 150, field +0%) or adds 25 to the current Poison Chain maximum limit, and increases the current chain count of all enemies by 10, grants [Chain Force Mode (Edgar - Poison)] and [Instant ATB 1] to the user ","N","Lowest HP% enemy","250","","","","紡絆・エドガー毒","20530031"
"VI","Sabin","Woven Bond: Sabin (Fire)","LBC","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode (Sabin - Fire)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Sabin's Black Belt Gi (VI)","紡絆・マッシュ炎","20550022"
"VI","Celes","Awoken Blade","LBO","PHY","Single enemy","Physical","32.00","Ice, Holy","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Snowflake Gown (VI)","目醒めし常勝の剣","20210024"
"VI","Celes","Woven Bond: Celes (Ice)","LBC","PHY","Single enemy","Physical","8.00","Ice, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Celes)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Mac an Luin (VI)","紡絆・セリス氷","20210034"
"VI","Shadow","Woven Bond: Shadow - Dark","LBC","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode (Shadow - Dark)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Stunner (VI)","紡絆・シャドウ闇","20890019"
"VI","Shadow","Dark Veil","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Gorgon Gaze (VI)","闇遁","20890020"
"VI","Gau","Woven Bond: Gau (Wind)","LBC","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode (Gau - Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Lufenian Claw (VI)","紡絆・ガウ風","20850019"
"VI","Setzer","Woven Bond: Setzer (Dark)","LBC","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode (Setzer)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Magician's Deck (VI)","紡絆・セッツァー闇","20780017"
"VI","Cyan","Woven Bond: Cyan","LBC","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates VI Chain (max 150, field +0%) or adds 25 to the current VI Chain maximum limit, grants [Chain Force Mode (Cyan)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Heike's Blade (VI)","紡絆・カイエン","20220022"
"VII","Tifa","Crushing Palm","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ehrgeiz (VII)","破砕・掌打クラッシュ","20230017"
"VII","Tifa","Woven Bond: Tifa (Earth)","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode (Tifa)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Spartan (VII)"," 紡絆・ティファ地","20230030"
"VII","Reno","Pyramid Tetra","LBO","NAT","Single enemy","Hybrid","-","Lightning","2.50","Four single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance, causes [ATK and MAG -50% (8s)], grants [50% Damage Reduction Barrier 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Modified Full Metal Staff (VII)","ピラミッド・テトラ","20920011"
"VII","Vincent","Galian Scratch","LBO","NAT","Single enemy","Hybrid","-","Fire","2.50","Four single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Outsider (VII)","ガリアンスクラッチ","22170015"
"VII","Vincent","Woven Bond: Vincent (Fire)","LBC","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","Ten single ranged hybrid attacks (0.80 or 2.60 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode (Vincent)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Blow Machine Gun (CC) (VII)","紡絆・ヴィンセント炎","22170023"
"VII","Vincent","Guardian Chaos","LBGS","NAT","Self","","","","0.01","Summons Chaos for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Last Stand], [Attach Fire 3 with Stacking] and [Damage Cap +20000] to Chaos","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Sadalmelik (VII)","Gカオス","22170024"
