"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Chain Force Mode (Prompto - Lightning)","Lightning Guidance: Prompto","PHY","Single enemy","Physical","1.28","Lightning, NE","0.01","Four single ranged attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31542920"
"Chain Force Mode (Ignis - Fire)","Fire Guidance: Ignis","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All allies","0","",""
"Chain Force Mode (Lion - Water)","Water Guidance: Lion","PHY","Single enemy","Physical","","Water, NE","0.01","Four single attacks (? each)","","","","",""
"Zenith Mode: Rydia (Water)","Spirit Attack: Rydia (Water)","SUM","Single enemy","Magical","16.20","Water, NE","0.01","Six single attacks (2.70/3.05 each) multiplier increases if exploiting weakness","Y","Lowest HP% enemy","0","Summoning","31542921"
"Zenith Mode: Meia","Spirit Attack: Meia","BLK","Single enemy","Magical","7.50","Water, NE","0.01","One single attack (7.50) capped at 99999, grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","0","Black Magic","31542942"
"Zenith Mode: Bartz (Water)","Spirit Attack: Bartz (Water)","NAT","Self","","","","0.01","Grants [100% Critical 5] and [Spellblade Instant Cast 5] to the user","N","Self","0","Special","31542943"
"Zenith Mode: Squall (Ice)","Spirit Attack: Squall (Ice)","PHY","Single enemy","Physical","6.00","Ice, NE","0.01","Ten single attacks (0.60 each) capped at 19999 with 100% critical rate","Y","Lowest HP% enemy","0","Spellblade","31542944"
"Zenith Mode: Rikku","Spirit Attack: Rikku","NAT","All allies","","","","0.01","Grants [Critical Damage +20% 3] to all allies","N","All allies","0","Special","31542945"
"Zenith Mode: Enna Kros","Spirit Attack: Enna Kros","BLK","Single enemy","Magical","7.40","Earth, NE","0.01","Five single attacks (1.48 each), grants [Earth Ability +30% Boost 3] to the user","N","Lowest HP% enemy","0","Black Magic","31542946"
"Chain Force Mode (Rikku - Water)","Water Guidance: Rikku","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All allies","0","Special","31542947"
"Zenith Mode: Reynn (Ice)","Spirit Attack: Reynn (Ice)","NAT","Self","","","","0.01","Grants [Dualcast Ice 1] to the user","N","Self","0","Special","31542954"
"Zenith Mode: Eight (Ice)","Spirit Attack: Eight (Ice)","NAT","Self","","","","0.01","Grants [Critical Damage +20% 3], [100% Critical 3 (v2)] to the user","N","Self","0","Special","31542955"
"Dual Awoken Ice Mode II (Reynn)","Dual Nosenose Summoner","NAT","Single enemy","","","","0.01","Causes [Imperil Prismatic 20% (15s)], [DEF, RES and MND -50% (8s)] and grants [Instant Cast 1] to all allies if 4+ summoner allies are alive, causes [Imperil Ice 20% (15s)] and [DEF, RES and MND -50% (8s)] if 0-3 summoner allies are alive","N","Lowest HP% enemy","0","Special","31542956"
"Awoken Calm Might Mode","Ice Speed Fist","PHY","Single enemy","Physical","4.56","Ice, NE","0.01","Six single attacks (0.24/0.37/0.45/0.63/0.76 each) at rank 1/2/3/4/5 of the triggering ability, 100% hit rate, grants [Quick Cast 1] to all allies in same row","Y","Lowest HP% enemy","0","Monk","31542959"
"Zenith Mode: Papalymo","Spirit Attack: Papalymo","BLK","Single enemy","Magical","14.52","Fire, NE","0.01","One single attack (14.52/16.40) higher multiplier if exploiting weakness to Fire, grants [Buff Fire 10% (5s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31542942"
"Zenith Mode: Y'shtola","Spirit Attack: Y'shtola","NAT","All allies","","","","0.01","Grants [HP Stock (2000)] to all allies","N","All allies","0","White Magic","31542969"
"Zenith Mode: Minfilia","Spirit Attack: Minfilia","NAT","All enemies","","","","0.01","Causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 10% (15s)], [Buff Prismatic 10% (15s)] and [200% ATB 1] if 0-3/4+ XIV allies are alive","N","All enemies","0","Support","31542970"
"Dual Awoken Guardian Mode I (Y'shtola)","Dual Asylum","NAT","All allies","","","","0.01","Grants [HP Stock (500/1000/1500/2000/3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31542971"
"Dual Awoken Guardian Mode II (Y'shtola)","Dual Divine Benizon","NAT","All allies","","","","0.01","Grants [Stoneskin: 50%] and [Instant Cast 1] to all allies","N","All allies","0","White Magic","31542972"
"Chain Force Mode (Minfilia)","Kindred Guidance: Minfilia","NAT","All allies","","","","0.01","Grants [Regenga] and [Instant Cast 1] to all allies","N","All allies","0","Knight","31542974"
"Zenith Mode: Lightning (Holy)","Spirit Attack: Lightning (Holy)","PHY","Single enemy","Physical","0.60","Holy, Lightning, NE","0.01","1/5/15 single attacks (0.60) each, increasing after each use, grants [Physical Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Celerity","31542984"
"Zenith Mode: Serah (Water)","Spirit Attack: Serah (Water)","NAT","Single enemy","","","","0.01","Causes [DEF and RES -50% (8s)], grants [Quick Cast 1] to all allies","N","Lowest HP% enemy","0","Special","31542985"
"Zenith Mode: Nabaat (Dark)","Spirit Attack: Nabaat (Dark)","NAT","Self","","","","0.01","Damages the user for 25% max HP, grants [Magical +30% Boost 3] and [Quick Cast 3] to the user","N","Self","0","Special","31542986"
"Dual Awoken Dark Mode I (Nabaat v2)","Dual Blood Gear","BLK","Single enemy","Magical","8.40","Dark, NE","0.01","Two single attacks (4.20 each), damages the user for 25% max HP, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Darkness","31542987"
"Dual Awoken Dark Mode II (Nabaat v2)","Dual Cold-Blooded Ploy","NAT","Single enemy","","","","0.01","Causes [DEF, RES and MND -50% (8s)] and [Imperil Dark 40% (5s)]","N","Lowest HP% enemy","0","Special","31542988"
"Darkness Gear Follow-Up","Darkness Gear","BLK","Single enemy","Magical","7.92","Dark, NE","0.01","Six single attacks (1.32 each), causes [Imperil Dark 10% (15s)] every other activation, and grants [Dark Ability +30% Boost 1] every other activation","Y","Lowest HP% enemy","0","Darkness","31542989"
"Zenith Mode: Raijin (Lightning)","Spirit Guidance: Raijin (Lightning)","NAT","All allies","","","","0.01","Grants [Critical Damage +20% 3] to all allies","N","All allies","0","Special","31542995"
"Zenith Mode: Ward (Water/Ice/Earth)","Spirit Guidance: Ward (Water/Ice/Earth)","PHY","Single enemy","Physical","3.36","Water, Ice, Earth, NE","0.01","One single ranged attack (3.36) capped at 99999, grants [ATK and MND +30%, DEF and RES +25% (25s)] to all allies if Laguna and Kiros are not in the party, grants [100% Critical (15s)] to all allies if one of Laguna or Kiros are in the party, grants [100% Critical (15s)] and [Critical Damage +50% (15s)] to all allies if Laguna and Kiros are in the party","N","Lowest HP% enemy","0","Dragoon","31542996"
"Chain Force Mode: Raijin (Lightning)","Lightning Guidance: Raijin","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All allies","0","Special","31542997"
"Chain Force Mode: Ward","Bond Guidance: Ward","PHY","Single enemy","Physical","1.89","Water, Ice, Earth, NE","0.01","One single ranged attack (1.89/1.98) capped at 99999, multiplier increases with uses, grants [Water/Ice/Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Dragoon","31542998"
"Lightning Pursuit Mode","Lightning Pursuit","NAT","Self","","","","0.01","Grants [Dualcast Lightning 1] to the user","N","Self","0","Special","31542999"
"Zenith Mode: Beatrix (Holy)","Spirit Guidance: Beatrix (Holy)","PHY","Single enemy","Physical","1.20","Holy, NE","0.01","Two single attacks (0.60 each) with 100% hit rate, causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","0","Knight","31543005"
"Chain Force Mode: Beatrix (Holy)","Holy Guidance: Beatrix","PHY","Single enemy","Physical","1.28","Holy, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","31543006"
"Chain Force Mode: Arc (Holy)","Holy Guidance: Arc","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543007"
"Zenith Mode: Machina","Spirit Attack: Tellah","NAT","Single enemy","","","","0.01","Grants all allies [100% Critical 3] and [Critical Damage +10% 3]","N","Lowest HP% enemy","0","Special","31543013"
"Zenith Mode: Tellah","Spirit Attack: Tellah","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 20% (5s)] and grants [Dualcast Earth 1] to the user","N","Lowest HP% enemy","0","Special","31543014"
"Zenith Mode: Vincent (Fire)","Spirit Attack: Vincent","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 20% (5s)], grants [Buff Fire 20% (5s)] and [Quick Cast 2] to the user","N","Lowest HP% enemy","0","Special","31543019"
"Zenith Mode: Balthier (Fire)","Spirit Attack: Balthier","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (5s)]/[Fire Ability +30% Boost 1] and [Quick Cast 1] to the user if target's Fire Weakness is 0%-40%/50%+","N","Lowest HP% enemy","0","Special","31543020"
"Zenith Mode: Irvine (Fire)","Spirit Attack: Irvine","NAT","Self","","","","0.01","Grants [Critical Damage +10% 1]/[Critical Damage +15% 1]/[Critical Damage +20% 1] after 0/1/2+ uses","N","Self","0","Special","31543021"
"Zenith Mode: Steiner","Spirit Attack: Steiner","PHY","Single enemy","Physical","0.59","Fire, Ice, Lightning, NE","0.01","One single attack (0.59), Absolute Devotion +1 to user","Y","Lowest HP% enemy","0","Spellblade","31543055"
"Zenith Mode: Nine","Spirit Attack: Nine","NAT","Single enemy","","","","0.01","Causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 30% (15s)] to the target and grants [Critical Damage +10% 2] to the user/party with at least 0-3/4+ Dragoon members in the party","N","Lowest HP% enemy","0","Special","31543056"
"Zenith Mode: Kimahri","Spirit Attack: Kimahri","NAT","Self","","","","0.01","Grants [Weakness +30% Boost 3] to self/all allies with at least 0-3/4+ Dragoon or X members in the party","N","Self","0","Special","31543057"
"Chain Force Mode: Steiner (Spellblade)","Spellblade Guidance: Steiner","NAT","All allies","","","","0.01","Grants [Quick Cast 2] to all allies","N","All allies","0","Special","31543058"
"Dual Awoken Spellblade Mode I (Steiner v2)","Dual Frostfire Thunder Slash","PHY","Single enemy","Physical","0.59","Fire, Ice, Lightning, NE","0.01","Six single attacks (0.65 each)","Y","Lowest HP% enemy","0","Spellblade","31543060"
"Dual Awoken Spellblade Mode II (Steiner v2)","Dual Assault Stance","NAT","All allies","","","","0.01","Grants [Quick Cast 2] to all allies","N","All allies","0","Special","31543061"
"Dual Awoken Water Mode II (Kimahri v2)","Dual Suicide Bomb","PHY","Single enemy","Physical","3.80","Water, NE","0.01","Four single ranged jump attacks (0.95 each) capped at 99999 multiplier is dependent on remaining HP, damages the user for 99% current HP","Y","Lowest HP% enemy","0","Dragoon","31543062"
"Zenith Mode: Steiner","Spirit Attack: Steiner v2","PHY","Self","","","","0.01","Grants [Spellblade +10% Boost 1] and [Quick Cast 1] with at least 0-1 Absolute Devotion, grants [Spellblade +30% Boost 1] and [Quick Cast 1] with at least 2-3 Absolute Devotion, grants [Spellblade +50% Boost 1], [Damage Cap +10000 1] and [Instant Cast 1] with at least 4+ Absolute Devotion to the user","N","Self","0","Special","31543070"
"Zenith Mode: Zeid (Dark)","Spirit Attack: Zeid","NAT","0","","","","0.01","Grants [Damage Cap +10000 2] and [Dark Ability +30% Boost 2] to the user and damages the user for 25% max HP","N","Self","0","Special","31543101"
"Zenith Mode: Lion (Water)","Spirit Attack: Lion","NAT","Single enemy","","","","0.01","Causes [ATK and DEF -70%]/[ATK, DEF, RES -70%] and grants [Water Damage +10%]/[Prismatic Damage +10%] to party with 0/4+ XI members in party","N","Lowest HP% enemy","0","Special","31543102"
"Zenith Mode: Onion Knight (Wind/Water/Fire/Earth)","Spirit Attack: Onion Knight (Wind/Water/Fire/Earth)","NAT","Self","","","","0.01","Grants [Instant ATB 1] to user","N","Self","0","Special",""
"Zenith Mode: Cloud of Darkness (Dark)","Spirit Attack: Cloud of Darkness","NAT","Single enemy","","","","0.01","Causes [MAG and RES -50% (8s)], grants [Quick Cast 2] to the user","N","Lowest HP% enemy","0","Special","31543105"
"Zenith Mode: Terra (Wind)","Spirit Attack: Terra (Wind)","BLK","Single enemy","Magical","7.50","Wind, NE","0.01","5/10/15 single attacks (1.50 each) after 1/2/3 uses, grants [Quick ATB 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31543106"
"Zenith Mode: Locke (Fire)","Spirit Attack: Locke","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","Ten single attacks (0.60 each)","Y","Lowest HP% enemy","0","Thief","31543107"
"Zenith Mode: Shadow (Dark)","Spirit Attack: Shadow","NAT","Self","","","","0.01","Grants [Quick Dark 1] and [Dark Ability +30% Boost 1] to the user","N","Self","0","Special","31543108"
"Zenith Mode: Sephiroth (Dark)","Spirit Attach: Sephiroth (Dark)","NAT","Self","","","","0.01","Grants [Dark Ability +50% Boost 1] to the user","N","Self","0","Special","31543109"
"Zenith Mode: Edge (Water/Fire/Lightning)","Spirit Attack: Edge (Water/Fire/Lightning)","NAT","Single enemy","Hybrid","","Water, Fire, Lightning","0.01","Three single hybrid attacks (0.58 or 218.3 each) followed by one single hybrid attack (3.05 or 18.33 each) that ignores DEF and RES, grants [Dualcast Ninja 1] and [Ninja Quick Cast 1] to user","N","Single enemy","0","Ninja","31543025"
"Zenith Mode: Yuffie (Earth)","Spirit Attack: Yuffie (Earth)","PHY","Single enemy","Physical","4.80","Earth, NE","0.01","Eight ranged physical attacks (0.60 each)","N","Single enemy","0","Ninja","31543026"
"Zenith Mode: Kiros (Dark/Ice)","Spirit Attack: Kiros (Dark/Ice)","NAT","","","","","0.01","Grants [Weakness +30% Boost 3] to the user if 0 members have Physical Blink, grants [Weakness +30% Boost 3] to all allies and [Buff Prismatic +10%] to allies with Physical Blink","N","","0","Ninja",""
"Dual Awoken Laguna Mania Mode I: Kiros v2","Dual Turbulent Slash","PHY","Single enemy","Physical","1.60","Dark, Ice, NE","0.01","5/6/7 single attacks (0.32 each) after using 1/2/3 Dark or Ice abilities","Y","Single enemy","0","Ninja","31543028"
"Dual Awoken Laguna Mania Mode II: Kiros v2","Dual Boring Life","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 20% (15s)] and [Imperil Ice 20% (15s)] to the taget and grants [Quick Cast 2] to the user if there are 0-3 Ninja allies in the party, Causes [Imperil Prismatic 20% (15s)] to the target and grants [Instant Cast 2] to the user if there are 4+ Ninja allies in the party","N","Single enemy","0","Special","31543029"
"Zenith Mode: Laguna (Ice)","Spirit Attack: Laguna","PHY","Single enemy","Physical","","Ice, NE","0.01","Three single ranged physical attacks (0.80/0.90 each) capped at 19999, higher multiplier if exploiting weakness","Y","Single enemy","0","Machinist","31543038"
"Zenith Mode: Firion (Ice)","Spirit Attack: Firion (Ice)","NAT","All allies","","","","0.01","Grants [Buff Ice 30% (5s)] to all allies, grants [Instant Cast 3] to the user","N","All allies","0","Special","31543039"
"Zenith Mode: King","Spirit Attack: King","NAT","All allies","","","","0.01","Grants [Lightning Damage +10% (5s)] and [Critical Damage +10% 1] to all allies","N","All allies","0","Special","31543045"
"Zenith Mode: Reno","Spirit Attack: Reno","NAT","All allies","","","","0.01","Grants [Lightning +10% Boost 5]/[Lightning +30% Boost 5] to all allies if the enemy has 0/60% Lightning weakness","N","All allies","0","Special","31543046"
"Zenith Mode: Wakka","Spirit Attack: Wakka","PHY","Single enemy","Physical","","Water, NE","0.01","Two single ranged physical attacks (0.60 each) and causes [Imperil Water 10% (5s)] to the target","Y","Single enemy","0","Sharpshooter","31543072"
"Zenith Mode: Seymour","Spirit Attack: Seymour","NAT","Single enemy","","","","0.01","Causes  [Imperil Dark 30% (5s)] to the target and grants [Dualcast Dark 1] to the user","N","Single enemy","0","Special","31543073"
"Zenith Mode: Braska","Spirit Attack: Braska","NAT","All allies","","","","0.01","Grants [Dualcast Summoning 1], [Summoning +30% Boost 1] to all allies and grants [Summoning Quick Cast 1]/[Summoning Instant Cast 1] to all allies if there are 0-2/3+ Summoners in the party","N","All allies","0","Special","31543074"
"Zenith Mode: Xezat","Spirit Attack: Xezat","NAT","All allies","","","","0.01","Grants [Critical Damage +10% 3] to all allies","N","All allies","0","Special","31543086"
"Zenith Mode: Dorgann","Spirit Attack: Dorgann","NAT","Single enemy","","","","0.01","Grants [Buff Earth 10% (5s)] to all allies, and causes [DEF, RES and MND -50% (8s)]/[DEF, RES and MND -70% (8s)] to the target if there are 0-1/2-3 of Kelger, Galuf, and Xezat in the party and [Imperil Earth 10% (5s)] to the target if all three of Kelger, Galuf, and Xezat are in the party ","N","Single enemy","0","Special","31543087"
"Zenith Mode: Ysayle (Ice)","Spirit Attack: Ysayle","NAT","Self","","","","0.01","Grants [Buff Ice 20% (15s)] and [Damage Cap +10000 2]","N","Self","0","Special","31543094"
"Chain Force Mode: Ysayle (Ice)","Ice Guidance: Ysayle","SUM","Single enemy","Magical","5.28","Ice, NE","0.01","Four single summon attacks (1.32 each)","N","Lowest HP% enemy","0","Summoning","31543095"
"Dual Awoken Ice Mode II (Ysayle II)","Dual Umbral Freeze","NAT","Self","","","","0.01","Grants [Damage Cap +20000 1] and [Ice +50% Boost 1], Summoning Smart Ether 2 to the user","N","Self","0","Special","31543096"
"Zenith Evil Armiger","Spirit Attack: Ardyn","NAT","Self","","","","0.01","Grants [Critical Damage +50% 2], [Instant ATB 2], and [Instant Dark/Fire 2] to the user","N","Self","0","Special","31543097"
"Zenith Mode: Ignis (Fire)","Spirit Attack: Ignis","NAT","Single ally","","","","0.01","Grants [Buff Fire +10% (5s)], [Buff Lightning +10% (5s)], [Buff Earth +10% (5s)] and [Physical Quick Cast 1] to the ally that triggered the chase","N","Single ally","0","Special","31543098"
"Zenith Mode: Ultimecia (Wind/Dark)","Spirit Attack: Ultimecia (Wind/Dark)","BLK","Single enemy","Magical","7.39","Wind, Dark, NE","0.01","One single attack (7.39 each) capped at 99999, grants [(Wind/Dark) Ability Damage +30% 3] to the user","N","Lowest HP% enemy","0","Black Magic","31543110"
"Dual Awoken Dark Mode II (Gabranth II)","Dual Full of Hate","NAT","Self","","","","0.01","Grants [Dark Ability +30% Boost 3] and [Damage Cap +10000 3] to the user","N","Self","0","Special","31543111"
"Zenith Mode: Larsa (White Magic)","Spirit Attack: Larsa","WHT","All allies","","","","0.01","Restores HP (20), grants [Quick Cast 1] to all allies every second activation","N","All allies","0","Special","31543112"
"Dual Awoken Potion Prince Mode II (Larsa)","Dual Prince's Strategy","NAT","All enemies","","","","0.01","[DEF -50% (15s)], grants [HP Stock (3000)] and [Quick Cast 2] to all allies","N","All enemies","0","White Magic","31543114"
"Zenith Mode: Vaan","Spirit Attack: Vaan","PHY","Single enemy","Physical","","Wind, NE","0.01","Six single physical attacks (0.80/0.90 each) capped at 19999, higher multiplier if exploiting weakness","Y","Single enemy","0","Thief","31543137"
"Zenith Mode: Reks","Spirit Attack: Reks","PHY","Single enemy","Physical","","Lightning, NE","0.01","Single target attack (3.36) capped at 99999 and grant [100% Critical 3] to all allies/[Damage +50% Boost 1] and [Quick Cast 1] to all XII allies with 0-3/4+ XII allies alive ","Y","Single enemy","0","Spellblade","31543138"
"Zenith Mode: Penelo","Spirit Attack: Penelo","NAT","All allies","","","","0.01","Grants [HP Stock (2000)] to all allies","N","All allies","0","Special","31543139"
"Zenith Mode: Aerith","Spirit Attack: Aerith","WHT","All allies","","","","0.01","Restores HP (25) to all allies","N","All allies","0","White Magic","31543158"
"Zenith Mode: Deuce","Spirit Attack: Deuce","NAT","All allies","","","","0.01","Grants [Stoneskin: 20%] to all allies","N","All allies","0","Special","31543160"
"Zenith Mode: Fina","Spirit Attack: Fina","NAT","All allies","","","","0.01","Grants [HP Stock (2000)] to all allies, and grants [Quick Cast 1] to all allies every other cast","N","All allies","0","Special","31543162"
"Zenith Mode: Thief (I)","Spirit Attack: Thief (I)","NAT","All allies","","","","0.01","Grants [Dualcast Thief 1], [Thief Instant Cast 1] and [Thief +30% Boost 1] to the user/party if there are 0-3/4+ Thief members","N","All allies","0","Special","31543183"
"Zenith Mode: Leila (Water)","Spirit Attack: Leila (Water)","PHY","Single enemy","Physical","","Water, NE","0.01","Four single physical attacks (0.60 each)","Y","Single enemy","0","Thief","31543184"
"Zenith Mode: Wedge","Spirit Attack: Wedge","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 3] to the user/party if there are 0-2/3 Thief members in the party, and Six single hybrid attacks (0.6/1.5 each) and grants [Weakness +30% Boost 3] to all allies if there are 4+ Thief members in the party","N","All allies","0","Special","31543185"
"Zenith Mode: Cloud (Dark)","Spirit Attack: Cloud (Dark)","NAT","Self","","","","0.01","Grants [Dark Ability +30% Boost 3]/[Dark +50% Boost 3] the user if the user has heavy charge 0-1/2 and [Heavy Charge =0]","N","Self","0","Special","31543196"
"Zenith Mode: Red XIII","Spirit Attack: Red XIII","NAT","All allies","","","","0.01","Grants [Buff Earth 10% (5s)] and [Quick Cast 1] to all allies","N","All allies","0","Special","31543197"
"Zenith Mode: Barret","Spirit Attack: Barret","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies if there are 0-3 VII members in the party, and grant [Instant Cast 1] and [100% Critical (15s)] to all allies and [Attach Fire with Stacking] to the user if there are 4+ VII members in the party","N","All allies","0","Special","31543198"
"Zenith Mode: Garnet (Holy)","Spirit Attack: Garnet (Holy)","NAT","All allies","","","","0.01","Grants [Dualcast Summoning 1] and [Magical Quick Cast 4] to all allies","N","All allies","0","Special","31543215"
"Zenith Mode: Eiko (Wind - Holy)","Spirit Attack: Eiko v2","SUM","Single enemy","Magical","14.52","Wind, Holy, NE","0.01","Single attack (14.52/16.40) capped at 99999, higher multiplier if exploiting weakness","N","Lowest HP% enemy","0","Summoning","31543216"
"Zenith Mode: Freya (Wind)","Spirit Attack: Freya","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 3] to the user/party if there are 0-3/4+ Dragoon or IX members in the party","N","All allies","0","Special","31543217"
"Zenith Mode: Edge (Poison)","Spirit Attack: Edge (Poison)","NAT","Self","","","","0.01","Grants [Buff Poison 10% (15s)] to the user","N","Self","0","Special","31543223"
"Zenith Mode: Quistis (Poison)","Spirit Attack: Quistis (Poison)","BLK","Single enemy","Magical","","Poison, NE","0.01","Five single attacks (2.70/3.05) higher multiplier when exploiting weakness, Grants [Poison Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31543224"
"Dual Awoken Ninja Mode II (Edge - Poison)","Eblan Style Poison Fang","NAT","Self","","","","0.01","Grants [Buff Poison 40% (5s)] and [Damage Cap +10000 3] to the user","N","Self","0","Special","31543225"
"Chain Force Mode: Quistis (Poison)","Poison Guidance: Quistis","BLK","Single enemy","Magical","7.92","Poison, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31543226"
"Vengeful Prince Mode","Eblan Style Greased Lightning","NAT","Single enemy","Hybrid","","Poison, NE","0.01","Four single hybrid attacks (1.00 or 630.45 each)","Y","Lowest HP% enemy","0","Ninja","31543227"
"Awoken Unequaled Prince Mode","Eblan Style Kassatsu Jizai","NAT","Single enemy","Hybrid","","Poison, NE","0.01","4/6/8 single hybrid attacks (0.67 or 414.1 each) under 0/1/2 physical blink","Y","Lowest HP% enemy","0","Ninja","31543230"
"Zenith Mode: Ultros","Spirit Attack: Ultros","NAT","Single enemy","Hybrid","","Poison, NE","0.01","One single attack (5.34 or 14.52) capped at 99999, 6.00 or 16.40 if exploiting Poison weakness","N","Lowest HP% enemy","0","Black Magic","31543232"
"Dual Awoken Poison Mode II (Ultros)","Dual Acid Rain","NAT","All allies","","","","0.01","Grants [Poison Ability +30% Boost 3] and [Quick Poison 3] to all allies, causes [Poison] to all allies","N","Self","0","Special","31543233"
"Chain Force Mode: Edgar (Poison)","Poison Guidance: Edgar","PHY","Single enemy","Physical","","Poison, NE","0.01","Four single ranged attacks (0.32 each)","Y","Lowest HP% enemy","0","Machinist","31543237"
"Zenith Mode: Rinoa (Earth)","Spirit Attack: Rinoa (Earth)","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 3] to the user","N","Self","0","Special","31543249"
"Zenith Mode: Selphie","Spirit Attack: Selphie","WHT","All allies","Magical","","","0.01","Restores HP (25) to all allies","N","All allies","0","White Magic","31543250"
"Dual Awoken Comet Mode II (Rinoa)","Power of the Witch","NAT","Self","","","","0.01","Grants [Ice/Earth Ability +30% Boost 3] and [Damage Cap +10000 3] to the user","0","Self","0","Special","31543252"
"Dual Awoken Dancer Mode I (Selphie)","D: Wall Step","WHT","All allies","","","","0.01","Restores HP (25), grants [20% Damage Reduction Barrier 1] to all allies","N","All allies","0","Dancer","31543253"
"Dual Awoken Dancer Mode II (Selphie)","D: Support Step","WHT","All allies","","","","0.01","Restores HP (55), grants [ATK and MAG +50%, MND +15% (8s)] and [Quick Cast 1] to all allies","N","All allies","0","Dancer","31543254"
"Chain Force Mode: Selphie","Bonding Guidance: Selphie","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543255"
"Zenith Mode: Onion Knight (Earth)","Spirit Attack: Onion Knight (Earth)","NAT","All allies","","","","0.01","Grants [Earth Ability +30% Boost 3] to all allies","N","All allies","0","Special","31543261"
"Zenith Mode: Refia","Spirit Attack: Refia","NAT","All allies","","","","0.01","Grants [Quick Cast 2] and [100% Critical 2] to the user if there are 0-3 Monk/III members in the party, Causes [Imperil Prismatic 30% (15s)] to the target and grants [Monk Instant Cast 1] to monk allies if there are 4+ monk in the party, Grants [100% Critical (15s)] and [Critical Damage +50% (15s)] to all allies if there are 4+ III allies in the party","N","All allies","0","Special","31543262"
"Dual Awoken Black Magic Mode II (Onion Knight (Earth))","D: Variable Power (Earth)","NAT","All allies","","","","0.01","Grants [Buff Earth 20% (15s)] and [Quick Cast 2] to all allies","N","All allies","0","Special","31543263"
"Chain Force Mode: Aria","Bonding Guidance: Aria","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543264"
"Dual Awoken Maiden Mode I (Aria)","D: Tears of the Priestess","WHT","All allies","","","","0.01"," Heals (10/15/25/35/45) to all allies at ability rank 1/2/3/4/5, and grants [Quick Cast 1] to all allies every second activation","N","All allies","0","White Magic","31543265"
"Dual Awoken Maiden Mode II (Aria)","D: Holy Sky Iris","NAT","All allies","","","","0.01","Grants [Stoneskin: 50%] and [Instant Cast 1] to all allies","N","All allies","0","Special","31543266"
"Zenith Mode: Rem","Spirit Attack: Rem","WHT","Single enemy","Magical","8.00","Holy, NE","0.01","Five single attacks (1.60 each) and grants [Holy Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","0","White Magic","31543300"
"Zenith Mode: Ceodore","Spirit Attack: Ceodore","NAT","Self","","","","0.01","Grants [Damage Cap +10000 1], [Holy Instant Cast 1] and [Holy Ability +50% Boost 1] to the user","N","Self","0","Special","31543301"
"Zenith Mode: Celes (Holy)","Spirit Attack: Celes","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 2] and [Quick Cast 2] to all allies","N","All allies","0","Special","31543302"
"Dual Awoken Invincible General Mode II (Celes)","Dual Morale of the Generals","NAT","All allies","","","","0.01","Grants [Buff Ice 30% (15s)]/[Buff Holy 30% (15s)] to all allies with Attach Ice/Attach Holy","N","All allies","0","Special","31543303"
"Zenith Mode: Vanille","Spirit Attack: Vanille","NAT","All allies","","","","0.01","Grants [HP Stock (2000)] to all allies, and grants [Quick Cast 1] to all allies every other cast","N","All allies","0","Special","31543309"
"Dual Awoken Future Hunter Mode II (Noel)","Dual Hunter's Conviction","NAT","Self","","","","0.01","Grants [Damage Cap +10000 3] and [(Ice/Water) Ability +50% Boost 3] to the user","N","Self","0","Special","31543310"
