"Realm","Character","Img","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Points","Mastery Bonus","Honing Effects","Relic","Name (JP)","ID"
"IV","Cecil (Paladin)","","Awoken Shining Crescent","DASB","NAT","Single enemy","Hybrid","-","Holy, NE","2.50","Seven single hybrid attacks (0.90/3.10 each) capped at 19999, grants [Attach Holy with Stacking], [Damage Cap +10000], [Dual Awoken Holy Mode I (Cecil (Paladin)) 2], [Holy Resonance +5% Boost] and [Holy Ability +50% Boost 2] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Galatyn (IV)","覚醒輝月","20070032"
"IV","Cecil (Paladin)","","Awoken Shining Crescent (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Holy Mode II (Cecil (Paladin)) 2]","N","Self","0","","","Galatyn (IV)","覚醒輝月","20070032"
"IV","Cecil (Paladin)","","Light of the Crystal","SASB","NAT","Single enemy","Hybrid","-","Holy, NE","2.50","Fifteen single hybrid attacks (0.60 or 1.60 each), grants [Attach Holy 3 with Stacking], [Synchro Mode], [Damage Cap +10000], [Instant ATB 3], [Instant Cast 3] and Paladin +1 to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Ochre Shield (IV)","クリスタルの光閃","20070035"
"IV","Kain","","Double Jump","Default","PHY","Single enemy","Physical","1.40","-","2.75","One single ranged jump attack (1.40)","Y","Lowest HP% enemy","250","","","-","Wジャンプ","20080001"
"IV","Kain","","Lancet","SB","PHY","Single enemy","Physical","4.00","-","2.75","One single attack (4.00), heals the user for 50% of the damage dealt","Y","Lowest HP% enemy","250","","","Blood Lance (IV)","竜剣","20080002"
"IV","Kain","","Gungnir","SB","PHY","Single enemy","Physical","5.00","-","3.00","One single ranged jump attack (5.00), [DEF and RES -50%] for 25 seconds","N","Random enemy without status","250","","","Gungnir (IV)","グングニル","20080003"
"IV","Kain","","Rising Drive","SSB","PHY","Single enemy","Physical","7.80","-","2.50","Four single ranged jump attacks (1.95 each), grants [No Air Time 3] to the user","N","Lowest HP% enemy","500","ATK +10","","Wyvern Lance (IV)","ライジングドライヴ","20080004"
"IV","Kain","","Unmatched Triple Assault","SB","PHY","Single enemy","Physical","5.16","-","2.50","Three single attacks (1.72 each), causes [Paralyze] (100%)","N","Lowest HP% enemy","250","","","Wyvern Gae Bolg (IV)","無双三段","20080005"
"IV","Kain","","Dragoon's Pride","BSB","PHY","All enemies","Physical","5.00","Lightning, NE","2.50","Four group ranged jump attacks (1.25 each), grants [Haste], [Attach Lightning] and [Burst Mode] to the user","N","All enemies","500","ATK +10","","Abel's Lance (IV)","プライドオブドラグーン","20080006"
"IV","Kain","","Kain's Lance","OSB","PHY","Single enemy","Physical","10.50","Lightning, NE","2.50","One single ranged jump attack (10.50~14.50 scaling with Dragoon abilities used) capped at 99999","N","Lowest HP% enemy","500","ATK +10","","Dragon Mail (IV)","ランスオブカイン","20080007"
"IV","Kain","","Luminous Dragon","USB","PHY","Single enemy","Physical","7.10","Lightning, NE","2.50","Ten single ranged jump attacks (0.71 each), [ATK and DEF +30%] to the user for 25 seconds, grants [Attach Lightning] and [Jump Instant Cast] to the user","N","Lowest HP% enemy","500","ATK +10","","Longinus (IV)","ルミナスドラゴン","20080008"
"IV","Kain","","Impulse Drive","CSB","PHY","Single enemy","Physical","7.92","Lightning","2.50","Activates Lightning Chain (max 99, field +20%), twenty-two single ranged jump attacks (0.36 each)","N","Lowest HP% enemy","500","ATK +10","","Kain's Lance (IV)","インパルスドライブ","20080009"
"IV","Kain","","Dragon's Wrath","USB","PHY","Single enemy","Physical","7.20","Lightning","2.50","Ten single ranged jump attacks (0.72 each), grants [Attach Lightning], [No Air Time 2] and [Brave Mode] to the user","N","Lowest HP% enemy","500","ATK +10","","Holy Lance (IV)","轟竜爪牙","20080011"
"IV","Kain","","Dragoon Dive","AOSB","PHY","Single enemy","Physical","24.00","Lightning","2.50","Three single ranged jump attacks (8.00 each) capped at 99999","N","Lowest HP% enemy","750","ATK +10","Damage Up, SB Gauge Down","Brionac (IV)","ドラグナーズダイブ","20080012"
"IV","Kain","","Lance of the Dragon","AASB","PHY","Single enemy","Physical","9.00","Lightning, NE","2.50","Fifteen single ranged jump attacks (0.60 each), grants [Attach Lightning], [Awoken Dragoon], [Damage Cap +20000] and [Boltstorm Spear Follow-Up] to the user","N","Lowest HP% enemy","500","ATK +10","Damage Up, Cast Time Down, Extra Usage","Dragoon Lance (IV)","ランスオブドラゴン","20080013"
"IV","Kain","","Dragon's Descent","Glint+","NAT","Self","","","","0.01","Grants [No Air Time] and [Instant Cast 1]","N","Self","0","ATK +10","","Lightseeker's Guise (IV)","竜即降弾","20080015"
"IV","Kain","","Blood Dragoon","SASB","PHY","Single enemy","Physical","9.00","Lightning, NE","2.50","Fifteen single ranged jump attacks (0.60 each), grants [Attach Lightning 3 with Stacking], [Synchro Mode], [Damage Cap +10000] and [Spark Spear Follow-Up] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Gae Bolg (IV)","ドラグーンオブブラッド","20080016"
"IV","Kain","","Draconic Tempest","Glint","NAT","Self","","","","0.01","Grants [Attach Lightning Stacking], [Attach Lightning] and [High Quick Cast 2]","N","Self","250","ATK +10","","Hero's Shield (IV)","竜即雷衣","20080017"
"IV","Kain","","Cross Javelin","SASB","PHY","Single enemy","Physical","9.00","Lightning, Dark, NE","2.50","Fifteen single ranged jump attacks (0.60 each), grants [Twin Element Mode III (Lightning/Dark)], [Synchro Mode] and [Damage Cap +10000] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Calamity Spear (IV)","クロスジャベリン","20080018"
"IV","Kain","","Raging Dragoon","AASB","PHY","Single enemy","Physical","9.00","Lightning, Dark, NE","2.50","Fifteen single ranged jump attacks (0.60 each), grants [Awoken Dragoon Pride], [Twin Element Mode (Lightning/Dark)], [Damage Cap +10000] and [Soaring Knight Mode] to the user","N","Lowest HP% enemy","500","ATK +10","Damage Up, Cast Time Down, Extra Usage","Marching Shield (IV)","レイジオブドラグーン","20080019"
"IV","Kain","","Surging Darkness","USB","PHY","Single enemy","Physical","7.10","Lightning, Dark, NE","2.50","Ten single ranged jump attacks (0.71 each), grants [Twin Element Mode II (Lightning/Dark)], [Jump Instant Cast] and [No Air Time] to the user","N","Lowest HP% enemy","500","ATK +10","","Obelisk (IV)","ダークネススラスト","20080020"
"IV","Kain","","Evil Tornado Dive","AOSB","PHY","Single enemy","Physical","19.00","Dark","2.50","Twenty single ranged jump attacks (0.55 each), followed by one single ranged jump attack (8.00) capped at 99999","N","Lowest HP% enemy","750","ATK +10","Damage Up, SB Gauge Down","Venus Gospel (IV)","イビルトルネードダイブ","20080021"
"IV","Kain","","Primed Jump","Glint+","NAT","Self","","","","0.01","Grants [Damage Cap +10000] and [Weakness +30% Boost 2]","N","Self","0","ATK +10","","Dragon Helm (IV)","ジャンプレディ","20080023"
"IV","Kain","","Awoken Gungnir","DASB","PHY","Single enemy","Physical","6.30","Lightning, NE","2.50","Seven single ranged jump attacks (0.90 each) capped at 19999, grants [Attach Lightning with Stacking], [Damage Cap +10000], [Dual Awoken Dragoon Pride Mode I (Kain - Lightning)] and [Dragoon Resonance +5% Boost] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Shamanic Spear (IV)","覚醒グングニル","20080025"
"IV","Kain","","Awoken Gungnir (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Dragoon Pride Mode II (Kain - Lightning)], removes [Dual Awoken Dragoon Pride Mode I (Kain - Lightning)]","N","Self","0","","","Shamanic Spear (IV)","覚醒グングニル","20080025"
"IV","Kain","","Apex Jump (Engaged)","ADSB","NAT","Self","","","","0.01","Grants [Attach Lightning with Stacking], [Damage Cap +10000], [Arcane Dyad Empowered: Kain (Lightning)], [Apex Jump Damage Tracker] and [Apex Jump Level]","N","Self","0","","Stat Boon","Thundering Lance (IV)","ジャンプ・極","20080026"
"IV","Kain","","Apex Jump","ADSB","PHY","Single enemy","Physical","30.00","Lightning, NE","2.50","Twenty single ranged jump attacks (1.00/1.10/1.20 each) capped at 9999/19999/29999, followed by one single ranged jump attack (10.00/11.00/12.00) capped at 99999 at Apex Jump level 0/1/2, removes Arcane Dyad Empowered: Kain (Lightning) from the user","N","Lowest HP% enemy","750","","Cast Time Down, SB Gauge Down","Thundering Lance (IV)","ジャンプ・極","20080026"
"IV","Kain","","Lightning Bond (Kain)","CSB+","NAT","All allies","","","","0.01","Activates Lightning Chain (max 150, field +50%), grants [Buff Lightning 10% (5s)]/[Buff Lightning 20% (5s)]/[Buff Lightning 30% (5s)] if 0-1/2-3/4+ allies have any [Attach Lightning], grants [ATK +50% (25s)], grants [Instant Cast 1] to the user","N","All allies","0","","Damage Reduction Barrier, ATB Reduction","Lunar Dragon Helm (IV)","雷絆【カイン】","20080029"
"IV","Kain","","Awoken Dark Thrust","DASB","PHY","Single enemy","Physical","6.30","Lightning, Dark, NE","2.50","Seven single ranged jump attacks (0.90 each) capped at 19999, grants [Twin Element Mode II (Lightning/Dark)], [Damage Cap +20000], [Dual Awoken Dragoon Pride Mode I (Kain - Dark)] and [Dragoon Resonance +5% Boost] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Punisher (IV)","覚醒ダークネススラスト","20080032"
"IV","Kain","","Awoken Dark Thrust (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Dragoon Pride Mode II (Kain - Dark)]","N","Self","0","","","Punisher (IV)","覚醒ダークネススラスト","20080032"
"IV","Kain","","Zenith Luminous Dragon","ZSB","PHY","Single enemy","Physical","6.30","Lightning, NE","2.50","Seven single ranged jump attacks (0.90 each) capped at 19999, grants [Attach Lightning 3 with Stacking], [Damage Cap +10000], [Zenith Mode], and [Zenith Mode: Kain (Lightning)] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Radiant Lance (IV)","究極ルミナスドラゴン","20080034"
"IV","Kain","","Continuous Flash: Kain (Lightning)","Glint++","NAT","Self","","","","0.01","Grants [Attach Lightning with Stacking], [Instant Cast 1], [Instant ATB 1] to the user","N","Self","0","","Lightning Damage, DRB","Evil Dragon Spear (IV)","連閃・カイン雷","20080036"
"IV","Kain","","Radiant Rising Drive","CASB","PHY","Single enemy","Physical","6.30","Lightning, NE","2.50","Seven single ranged jump attacks (0.90 each) capped at 19999, grants [Attach Lightning with Stacking], [Damage Cap +10000], [Crystal Force Mode], and [Crystal Force Mode: Kain (Lightning)] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Knight's Lance (IV)","耀光ライジングドライヴ","20080037"
"IV","Kain","","Zenith Dragon's Wrath","ZSB","PHY","Single enemy","Physical","6.30","Lightning, Dark, NE","2.50","Seven single ranged jump attacks (0.90 each) capped at 19999, grants [Attach Lightning 2 with Stacking]/[Attach Dark 2 with Stacking] based on element of entry damage, [Damage Cap +10000], [Zenith Mode], and [Zenith Mode: Kain] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Flayer (IV)","究極轟竜爪牙","20080038"
"IV","Kain","","Divine Might: Kain (Thunder)","OZSB","PHY","Single enemy","Physical","51.20","LIghtning","2.50","Seven single ranged jump attacks (2.60/2.80/2.90/3.00 each) capped at 19999/29999/49999/59999, followed by three single piercing attacks (11.00 each) capped at 99999.  Multiplier/cap requirements: 0-2/3-4/5+ lightning abilities equipped on allies/5+ lightningabilities equipped on allies and 2+ allies with Attach Lightning","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Wyvern Horn (IV)","神威・カイン雷","20080039"
"IV","Rydia","","Summon Eidolon I","Default","SUM","All enemies","Magical","0.98","-","3.00","One group attack (0.98), minimum damage 100","N","All enemies","250","","","-","幻獣召喚Ⅰ","20090001"
"IV","Rydia","","Summon Eidolon II","SB","SUM","All enemies","Magical","7.17","Ice","3.00","One group attack (7.17), minimum damage 1050","N","All enemies","250","","","Ice Whip (IV)","幻獣召喚Ⅱ","20090002"
"IV","Rydia","","Radiant Breath","SB","SUM","All enemies","Magical","7.50","Holy","3.00","Two group attacks (3.75 each), grants [Physical Blink 2] to the user","N","All enemies","250","","","Dragon Whisker (IV)","レディアントブレス","20090003"
"IV","Rydia","","Odin","SSB","SUM","All enemies","Magical","14.22","-","3.00","Six group attacks (2.37 each), minimum damage 525, causes [Instant KO] (100%), [DEF +50%] to all allies for 25 seconds","N","All enemies","500","MAG +10","","Mystic Whip (IV)","幻獣召喚・オーディン","20090004"
"IV","Rydia","","Mournful Cry","BSB","SUM","All enemies","Magical","11.85","Earth, NE","2.50","Five group attacks (2.37 each), minimum damage 1100, grants [Haste], [Attach Earth] and [Burst Mode] to the user","N","All enemies","500","MAG +10","","Sleipnir's Tail (IV)","悲痛なる少女の叫び","20090005"
"IV","Rydia","","Eidolon Emissary","OSB","SUM","Single enemy","Magical","37.00","Earth, Water, Holy","2.50","One single attack (37.00) capped at 99999, minimum damage 1100","N","Lowest HP% enemy","500","MAG +10","","Wizard Rod (IV)","幻獣召喚・絆","20090006"
"IV","Rydia","","Lord of the Seas","USB","SUM","Single enemy","Magical","17.00","Water, NE","2.50","Ten single attacks (1.70 each), minimum damage 1100, [MAG and RES +30%] to all allies for 25 seconds, grants [Attach Water] to the user","N","Lowest HP% enemy","500","MAG +10","","Red Scorpion (IV)","幻獣召喚・大海を制す王","20090007"
"IV","Rydia","","Law of the Eidolons","BSB","SUM","All enemies","Magical","11.94","Water, Holy","2.50","Six group attacks (1.99 each), minimum damage 1100, causes [Imperil Water 20%] for 25 seconds, grants [Haste] and [Burst Mode] to the user","N","All enemies","500","MAG +10","","Minerva Bustier (IV)","幻獣界の掟","20090008"
"IV","Rydia","","Fated Encounter","USB","SUM","Single enemy","Magical","17.00","Water, NE","2.50","Ten single attacks (1.70 each), [DEF and MAG +30%] to the user for 25 seconds, grants [Attach Water] and [Tidal Flood Follow-Up] to the user","N","Lowest HP% enemy","500","MAG +10","","Mythril Whipblade (IV)","幻獣召喚・宿命の邂逅","20090010"
"IV","Rydia","","Past and Present","AOSB","SUM","Single enemy","Magical","79.50","Water, Earth, Holy","2.50","Three single attacks (26.50 each) capped at 99999","N","Lowest HP% enemy","750","MAG +10","Damage Up, SB Gauge Down","Summoner Rydia (IV)","過去と未来が重なる刻","20090011"
"IV","Rydia","","Raging Giant","USB","SUM","Single enemy","Magical","17.30","Earth","2.50","Ten single attacks (1.73 each), grants [Attach Earth], [Quick Cast] and [Brave Mode] to the user","N","Lowest HP% enemy","500","MAG +10","","Earth Whip (IV)","幻獣召喚・猛る巨人","20090012"
"IV","Rydia","","Secret of Mist","Glint","NAT","Self","","","","0.01","Grants [Magical High Quick Cast] and [Summoning Rank Boost]","N","Self","250","MAG +10","","Flame Whip (IV)","ミストの村の秘伝","20090013"
"IV","Rydia","","Feymarch Frontier","AASB","SUM","Single enemy","Magical","22.50","Water, Earth, Holy, NE","2.50","Fifteen single attacks (1.50 each), grants [MAG and RES +30%] to all allies for 25 seconds, grants [Awoken Summoning], [Damage Cap +10000] and [Trinity Summon Follow-Up] to the user","N","Lowest HP% enemy","500","MAG +10","Damage Up, Cast Time Down, Extra Usage","Rune Whip (IV)","幻獣界への越境","20090015"
"IV","Rydia","","Eidolon Zantetsuken","SASB","SUM","Single enemy","Magical","22.50","Earth, NE","2.50","Fifteen single attacks (1.50 each), grants [Attach Earth 3 with Stacking], [Synchro Mode] and [Damage Cap +10000] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Gaia Whip (IV)","幻獣召喚・猛る斬鉄剣","20090016"
"IV","Rydia","","Secret of the Eidolons","Glint+","NAT","Self","","","","0.01","Grants [Attach Earth Stacking], [Attach Earth] and [Instant Cast 1]","N","Self","0","MAG +10","","Chaperon (IV)","幻獣界の秘伝","20090017"
"IV","Rydia","","Broken Heart","SASB","SUM","Single enemy","Magical","22.50","Water, NE","2.50","Fifteen single attacks (1.50 each), grants [Attach Water 3 with Stacking], [Synchro Mode], [Damage Cap +10000], [HP Stock (10000)] and Feymarch Form +1 to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Aqua Whip (IV)","ブロークンハート","20090018"
"IV","Rydia","","Mist Wall","Glint+","NAT","Self","","","","0.01","Grants [Tri-Element Mode II (Water/Earth/Holy)], Summoning smart ether 2","N","Self","0","MAG +10","","Rainbow Robes (IV)","ミストウォール","20090020"
"IV","Rydia","","Summon Eidolon King","AASB","SUM","Single enemy","Magical","22.50","Water, Earth, Holy, NE","2.50","Fifteen single attacks (1.50 each), grants [Awoken Summoning], [Damage Cap +10000], [Tri-Element Mode (Water/Earth/Holy)], [Feymarch Oath Mode], [Feymarch Oath +10% Boost] and [Feymarch Oath Quick Cast 150%] to the user","N","Lowest HP% enemy","500","MAG +10","Damage Up, Cast Time Down, Extra Usage","Platinum Whipblade (IV)","召喚・幻獣王","20090022"
"IV","Rydia","","Gaia's Wrath (Engaged)","ADSB","NAT","Self","","","","0.01","Grants [Attach Earth with Stacking], [Damage Cap +10000], [Arcane Dyad Empowered: Rydia (Earth)], [Gaia's Wrath Damage Tracker] and [Gaia's Wrath Level]","N","Self","0","","Stat Boon","Terra Wand (IV)","だいちのいかり","20090023"
"IV","Rydia","","Gaia's Wrath","ADSB","SUM","Single enemy","Magical","97.60","Earth, NE","2.50","Twenty single attacks (3.15/3.50/3.85 each) capped at 9999/19999/29999, followed by one single attack (34.60/38.06/41.52) capped at 99999 at Gaia's Wrath level 0/1/2, removes Arcane Dyad Empowered: Rydia (Earth) from the user","N","Lowest HP% enemy","750","","Cast Time Down, SB Gauge Down","Terra Wand (IV)","だいちのいかり","20090023"
"IV","Rydia","","Deluge (IV) (Engaged)","ADSB","NAT","Self","","","","0.01","Grants [Twin Element Mode (Water/Holy)], [Damage Cap +10000], [Arcane Dyad Empowered: Rydia (Water/Holy)], [Deluge (IV) Damage Tracker] and [Deluge (IV) Level]","N","Self","0","","Stat Boon","Mystic Whip+ (IV)","おおつなみ","20090028"
"IV","Rydia","","Deluge (IV)","ADSB","SUM","Single enemy","Magical","97.60","Water, Holy, NE","2.50","Twenty single attacks (3.15/3.50 each) capped at 9999/19999, followed by one single attack (34.60/38.06) capped at 99999 at Deluge (IV) level 0/1, removes Arcane Dyad Empowered: Rydia (Water/Holy) from the user","N","Lowest HP% enemy","750","","Cast Time Down, SB Gauge Down","Mystic Whip+ (IV)","おおつなみ","20090028"
"IV","Rydia","","Holy Burst","SASB","SUM","Single enemy","Magical","22.50","Holy, NE","2.50","Fifteen single attacks (1.50 each), grants [Attach Holy 3 with Stacking], [Synchro Mode], [Damage Cap +10000] and [True Summoner Mode] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Chanter's Djellaba (IV)","ホーリーバースト","20090031"
"IV","Rydia","","Awoken Lord of the Seas","DASB","SUM","Single enemy","Magical","21.35","Water, NE","2.50","Seven single attacks (3.05 each) capped at 19999, grants [MAG and MND +50% (25s)], [Attach Water with Stacking], [Damage Cap +10000], [Dual Awoken Summoning Mode I: Rydia - Water] and [Water Resonance +5% Boost] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Rosethorn (IV)","覚醒幻獣召喚・海王","20090032"
"IV","Rydia","","Awoken Lord of the Seas (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants Summoning smart ether 2, [Instant ATB 1], [Dual Awoken Summoning Mode II: Rydia - Water], removes [Dual Awoken Summoning Mode I: Rydia - Water]","N","Self","0","","","Rosethorn (IV)","覚醒幻獣召喚・海王","20090032"
"IV","Rydia","","Call Me Queen","SASB","SUM","Single enemy","Magical","22.50","Water, NE","2.50","Fifteen single attacks (1.50 each), grants [Attach Water 3 with Stacking], [Synchro Mode], [Damage Cap +10000] and [Divergent Time Flow Mode] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Corsage Bracelet (IV)","コールミークイーン","20090034"
"IV","Rydia","","Feymarch Power","Glint+","SUM","Single enemy","Magical","7.79","Water, Earth, Holy","0.01","One single attack (7.29) capped at 99999, 7.79 multiplier if exploiting elemental weakness, grants [Soul Break Gauge +250]","N","Lowest HP% enemy","0","MAG +10","","Reginleif (IV)","幻界で得た力","20090035"
"IV","Rydia","","Awoken Mournful Cry","DASB","SUM","Single enemy","Magical","21.35","Earth, NE","2.50","Seven single attacks (3.05 each) capped at 19999, grants [MAG and RES +30% (25s)] to all allies, [Attach Earth with Stacking], [Damage Cap +10000], [Dual Awoken Summoning Mode I: Rydia - Earth] and [Earth Resonance +5% Boost] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Brynhildr (IV)","覚醒悲痛なる少女の叫び","20090036"
"IV","Rydia","","Awoken Mournful Cry (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1], [Dual Awoken Summoning Mode II: Rydia - Earth], removes [Dual Awoken Summoning Mode I: Rydia - Earth]","N","Self","0","","","Brynhildr (IV)","覚醒悲痛なる少女の叫び","20090036"
"IV","Rydia","","Water Bond (Rydia)","CSB+","NAT","All allies","","","","0.01","Activates Water Chain (max 150, field +50%), grants [Buff Water 10% (5s)]/[Buff Water 20% (5s)]/[Buff Water 30% (5s)] if 0-1/2-3/4+ allies have any [Attach Water], grants [MAG +50% (25s)], grants [Instant Cast 1] to the user","N","All allies","0","","Damage Reduction Barrier, ATB Reduction","Wing Wand (IV)","水絆【リディア】","20090038"
"IV","Rydia","","Awoken Radiant Breath","DASB","SUM","Single enemy","Magical","21.35","Holy, NE","2.50","Seven single attacks (3.05 each) capped at 19999, [Attach Holy with Stacking], [Damage Cap +10000], [Dual Awoken Summoning Mode I (Rydia - Holy)] and [Holy Resonance +5% Boost] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Rainbow Robes+ (IV)","覚醒レディアントブレス","20090040"
"IV","Rydia","","Awoken Radiant Breath (Dual Shift)","DASB","NAT","All allies","","","","0.01","Grants [MAG and MND +30%, DEF and RES +25% (8s)], grants Summoning smart ether 2, [Instant ATB 1], [Dual Awoken Summoning Mode II (Rydia - Holy)] to the user","N","All allies","0","","","Rainbow Robes+ (IV)","覚醒レディアントブレス","20090040"
"IV","Rydia","","Facing Destiny","AASB","SUM","Single enemy","Magical","22.50","Water, Earth, Holy, NE","2.50","Fifteen single attacks (1.50 each), grants [Buff Water 20% (15s)], [Buff Earth 20% (15s)], [Buff Holy 20% (15s)], [Awoken Instacast], [Damage Cap +20000], [Tri-Element Mode II (Water/Earth/Holy)] and [Mist Strike] to the user","N","Lowest HP% enemy","500","MAG +10","Damage Up, Cast Time Down, Extra Usage","Chain Whip (IV)","運命に立ち向かう力","20090042"
"IV","Rydia","","Zenith Fated Encounter","ZSB","SUM","Single enemy","Magical","21.35","Water, NE","2.50","Seven single attacks (3.05 each) capped at 19999, grants [Attach Water 3 with Stacking], [Damage Cap +10000], [Zenith Mode], and [Zenith Mode: Rydia (Water)] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Leviathan Whisker (IV)","究極宿命の邂逅","20090043"
"IV","Rydia","","Divine Might: Rydia (Water)","OZSB","SUM","Single enemy","Magical","153.20","Water","2.50","Seven single attacks (8.60/9.30/9.65/10.00 each) capped at 19999/29999/49999/59999, followed by three single attacks (31.00 each) capped at 99999.  Multiplier/cap requirements: 0-2/3-4/5+ water abilities equipped on allies/5+ water abilities equipped on allies and Edge is alive","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Summoner's Whip (IV)","神威・リディア水","20090044"
"IV","Rydia","","Zenith Holy Mist","ZSB","SUM","Single enemy","Magical","21.35","Holy, NE","2.50","Seven single attacks (3.05 each) capped at 19999, grants [MAG and MND +50% (25s)], [Attach Holy 3 with Stacking], [Damage Cap +10000], [Zenith Mode], and [Zenith Mode: Rydia (Holy)] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Wyvern Tail (IV)","究極ホーリーミスト","20090046"
"IV","Rydia","","Divine Might: Rydia (Earth)","OZSB","SUM","Single enemy","Magical","153.20","Holy","2.50","Seven single attacks (8.60/9.30/9.65/10.00 each) capped at 19999/29999/49999/59999, followed by three single piercing attacks (31.00 each) capped at 99999.  Multiplier/cap requirements: 0-2/3-4/5+ Holy abilities equipped on allies/5+ Holy abilities equipped on allies and 2+ allies have Attach Holy","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Steel Snake (IV)","神威・リディア聖","20090047"
"IV","Rydia","","Radiant Rock-breaker","CASB","SUM","Single enemy","Magical","21.35","Earth, NE","2.50","Seven single attacks (3.05 each) capped at 19999, grants [Attach Earth with Stacking], [Damage Cap +10000], [Crystal Force Mode] and [Crystal Force Mode: Rydia (Earth] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Queen's Whip (IV)","耀光ブレイキングロック","20090049"
"IV","Rydia","","Zenith Raging Giant","ZSB","SUM","Single enemy","Magical","21.35","Earth, NE","2.50","Seven single attacks (3.05 each) capped at 19999, grants [Attach Earth 3 with Stacking], [Damage Cap +10000], [Zenith Mode], and [Zenith Mode: Rydia (Earth)] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Jade Gown (IV)","究極幻獣召喚・猛る巨人","20090050"
"IV","Rydia","","Divine Might: Rydia (Earth)","OZSB","SUM","Single enemy","Magical","153.20","Earth","2.50","Seven single attacks (8.60/9.30/9.65/10.00 each) capped at 19999/29999/49999/59999, followed by three single piercing attacks (31.00 each) capped at 99999.  Multiplier/cap requirements: 0-2/3-4/5+ Earth abilities equipped on allies/5+ Earth abilities equipped on allies and 2+ allies have Attach Earth","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Summoner's Garb (IV)","神威・リディア地","20090051"
"IV","Rydia","","Continuous Flash: Rydia","Glint++","NAT","Self","","","","0.01","Grants [Tri-Element Mode II (Water/Earth/Holy)], [Instant ATB 1] and [Instant Cast 2] to the user","N","Self","0","","Prismatic Damage Up, DRB","Mythril Bracelet (IV)","連閃・リディア","20090052"
"IV","Rosa","","Trueshot Bow","Default","PHY","Single enemy","Physical","1.50","-","3.00","One single ranged attack (1.50)","Y","Lowest HP% enemy","250","","","-","必中の弓","20990001"
"IV","Rosa","","Divine Favor","SB","WHT","All allies","","","","3.00","Restores HP (50), removes KO [Raise: 30%]","N","All allies","250","","","Elven Bow (IV)","祝福【Ⅳ】","20990002"
"IV","Rosa","","Miracle","SB","NAT","All allies","","","","2.50","Grants [Protect] and [Shell]","N","All allies","250","","","White Dress (IV)","奇跡","20990003"
"IV","Rosa","","Divine Heal","SSB","WHT","All allies","","","","3.00","Restores HP (85), grants [Magical Blink 1]","N","All allies","500","MND +10","","Artemis Bow (IV)","ディバインヒール","20990004"
"IV","Rosa","","Holy Ray","BSB","WHT","All enemies","Magical","9.50","Holy","2.50","Five group attacks (1.90 each), restores HP (85) to all allies, grants [Haste] and [Burst Mode] to the user","N","All enemies","500","MND +10","","Perseus Bow (IV)","ホーリーレイ","20990005"
"IV","Rosa","","Benediction","USB","WHT","All allies","","","","0.01","Restores HP (85), grants [HP Stock (2000)] and [Magical Blink 1]","N","All allies","500","MND +10","","Fairy's Bow (IV)","女神の祝福","20990006"
"IV","Rosa","","White Mage Wonder (IV)","USB","WHT","All allies","","","","0.01","Restores HP (85), grants [Regenga] and [High Quick Cast 2]","N","All allies","500","MND +10","","Rosa's Guise (IV)","白魔道士の奇跡【IV】","20990007"
"IV","Rosa","","Divine Guard","Glint","NAT","All allies","","","","0.01","Grants [Haste] and [Magical Blink 1]","N","All allies","250","MND +10","","Magic Bow (IV)","ディバインガード","20990008"
