"ID","Character","Name","Effect"
"201051101","Exdeath","Reign of Chaos","35% chance to dualcast abilities that deal Dark damage"
"201051102","Exdeath","Born of Evil","Grants [Attach Dark] at the beginning of the battle"
"201051103","Exdeath","Tree Most Foul","BLK and WHT attacks deal 25% more damage when equipping a staff or sword"
"201051200","Krile","Boundless Affection","Increases Fire damage dealt by 10%"
"201051201","Krile","Grandfather's Footsteps","30% chance to grant [Quick Cast 3] to the user after using a Fire attack"
"201051202","Krile","Unbridled Enthusiasm","Grants [Attach Fire] at the beginning of the battle"
"201051203","Krile","A Granddaughter's Drive","25% chance to dualcast abilities that deal Fire damage"
"201051204","Krile","Innate Cheer","Grants [Attach Earth] at the beginning of the battle"
"201051205","Krile","Natural Connection","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201051206","Krile","Refinement (Krile)","BLK attacks deal 25% more damage"
"201051600","Xezat","Veteran Swordsman","Spellblade abilities deal 15% more damage"
"201051601","Xezat","Warrior King","35% chance of smart ether 1 to the user after using a Ice attack"
"201051602","Xezat","Head of the Fleet","25% chance to dualcast Spellblade abilities"
"201051603","Xezat","Master of Surgate","Spellblade abilities deal 25% more damage when equipping a sword"
"201051604","Xezat","Bravery (Xezat)","100% chance to dualcast every third Spellblade ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle"
"201051700","Kelger","Detester of Evil","Increases Earth damage dealt by 10%"
"201051701","Kelger","Leader of the Pack","30% chance to grant [Quick Cast 3] to the user after using a Ninja ability"
"201051702","Kelger","Nimble Werewolf","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability"
"201051703","Kelger","Undimmed Justice","Grants [Attach Earth] at the beginning of the battle"
"201051704","Kelger","Dying Breath","25% chance to dualcast Ninja abilities"
"201060100","Terra","Esperbond","Increases Fire damage dealt by 10%"
"201060101","Terra","Magitek Warrior","Restores HP for 100% of the user's maximum HP and grants [Terra Trance] when HP fall below 20%"
"201060102","Terra","Innate Power","25% chance to dualcast abilities that deal Fire damage"
"201060103","Terra","Meaning of Love","Grants [Attach Fire] at the beginning of the battle"
"201060104","Terra","Savior's Gift","Grants [Attach Wind] at the beginning of the battle"
"201060105","Terra","Bravery: Terra","Increases Fire/Wind damage dealt by 10%, Grants [200% ATB 1] at the beginning of the battle, and casts [Brave Crystal's Might (Terra)] after using three Fire/Wind abilities (max 1)"
"201060300","Locke","Ardent Adventurer","Increases Fire damage dealt by 10%"
"201060301","Locke","Phoenix's Charge","Restores HP for 100% of the user's maximum HP and grants [Phoenix Mode] when HP fall below 20%"
"201060302","Locke","Burning Desire","Grants [Attach Fire] at the beginning of the battle"
"201060303","Locke","On the Rebound","25% chance to dualcast abilities that deal Fire damage"
"201060400","Celes","Rune Knight Blademaster","Spellblade abilities deal 15% more damage"
"201060401","Celes","Rune Knight Soulmaster","Exploiting elemental weakness grants 50% more Soul Break points (additive with the default 50% bonus)"
"201060402","Celes","Rune Knight Spellmaster","25% chance to dualcast Spellblade abilities"
"201060403","Celes","Rebel Knight","Grants [Attach Ice] at the beginning of the battle"
"201060404","Celes","Bravery: Celes","Increases Ice/Holy damage dealt by 10%, 100% chance to dualcast every third Ice/Holy ability, Grants [200% ATB 1] at the beginning of the battle"
"201060500","Mog","Proven Pom-Pom","WHT abilities restore 15% more HP"
"201060501","Mog","Dance Lover","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability"
"201060502","Mog","Boss Moogle","Increases the duration of stat buffs by 30%"
"201060503","Mog","Moogle Survivor","25% chance to cast an ability (NAT: group, ATK/MAG/MND -30% (15s)) after using a Dancer ability"
"201060504","Mog","Dancing Death","Grants [Quick Cast 3] at the beginning of the battle"
"201060505","Mog","Hastening (Mog)","Grants [Quick Cast 3] after using three Dancer/Dragoon abilities"
"201060600","Edgar","To the Manner Born","Machinist abilities deal 15% more damage"
"201060601","Edgar","Long Live the King","35% chance to dualcast Machinist abilities"
"201060602","Edgar","Master of Machines","10% chance to dualcast Machinist abilities twice"
"201060603","Edgar","Awkward Inventor","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Machinist ability"
"201060604","Edgar","Quickstrike (Edgar)","Grants [Quick Cast] and [Tri-Blast Follow-Up] at the beginning of the battle"
"201060700","Sabin","Fiery Honor","Increases Fire damage dealt by 10%"
"201060701","Sabin","Master's Secrets","35% chance to dualcast abilities that deal Fire damage"
"201060702","Sabin","Master's Teachings","ATK +2% for each hit dealt with Monk abilities, up to +34%"
"201060703","Sabin","Boisterous Brawler","Grants [Attach Fire] at the beginning of the battle"
"201060800","Shadow","Murderous Method","Ninja abilities deal 15% more damage"
"201060801","Shadow","Heat of Battle","35% chance to dualcast Ninja abilities"
"201060802","Shadow","Cloak of Darkness","Grants [Attach Dark] at the beginning of the battle"
"201060803","Shadow","Man of Action","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability"
"201060804","Shadow","Herald (Shadow)","Grants [Attach Dark] and [Quick Cast] at the beginning of the battle"
"201060900","Cyan","Path of Vengeance","Samurai abilities deal 15% more damage"
"201060901","Cyan","True Conviction","35% chance to dualcast Samurai abilities"
"201060902","Cyan","Self Reliance","Grants [Attach Fire] at the beginning of the battle"
"201060903","Cyan","Refinement (Cyan)","PHY attacks deal 25% more damage"
"201060904","Cyan","Bravery: Cyan","100% chance to dualcast every third Samurai ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle"
"201061000","Gau","Dried Meat Connoisseur","PHY attacks deal 10% more damage"
"201061001","Gau","Natural Instincts","35% chance to dualcast Combat or Celerity abilities"
"201061002","Gau","Untamed Energy","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%"
"201061003","Gau","Refinement (Gau)","PHY attacks deal 25% more damage"
"201061100","Setzer","Taking Wing","Support abilities deal 15% more damage"
"201061101","Setzer","Fate-Defying Bet","30% chance to cast an ability (PHY: single, 0.25 physical, ATK/MAG/MND -30% (15s)) after dealing damage with a Support ability"
"201061102","Setzer","Second Chance","Increases the duration of stat debuffs by 30%"
"201061103","Setzer","Sky Dreams","Grants [Instant Cast 1] at the beginning of the battle, begins the round with full ATB gauge"
"201061106","Setzer","Realized Dreams","25% chance to dualcast abilities that deal Dark damage"
"201061107","Setzer","Subversion (Setzer)","After using 3 Support/Sharpshooter abilities, inflicts [Imperil Dark 10% (15s)]"
"201061200","Strago","Curious Naturalist","Increases Water damage dealt by 10%"
"201061201","Strago","Waker of Hope","25% chance to cast an ability (NAT: group, restores HP for 30% of the target's maximum HP) after taking damage from an enemy"
"201061202","Strago","Defying Flame","25% chance to dualcast abilities that deal Water damage"
"201061203","Strago","Depths of Power","Grants [Attach Water] at the beginning of the battle"
"201061204","Strago","Bravery: Strago","Increases Water/Wind damage dealt by 10%, 100% chance to dualcast every third Water/Wind ability, Grants [200% ATB 1] at the beginning of the battle"
"201061300","Relm","Divine Pictomancer","WHT abilities restore 15% more HP"
"201061301","Relm","Cat-eared Pictomancer","Reduces damage taken by Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks by 15%"
"201061302","Relm","Wondrous Hues","27% chance to grant [Magical Blink 1] to the target after using a single-target White Magic ability that restores HP on an ally"
"201061303","Relm","Stroke of Genius","25% chance to dualcast White Magic abilities"
"201061304","Relm","Ancient Blood","MND +1% for each hit dealt with White Magic abilities, up to +25%"
"201061305","Relm","Passionate Painter","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability"
"201061400","Gogo (VI)","Mimic's Craft","Mimic attacks deal 15% more damage"
"201061401","Gogo (VI)","Perfect Likeness","ATK and MAG +2% for each hit dealt with Mimic attacks, up to +30%"
"201061402","Gogo (VI)","Heroic Mimicry","35% chance to grant [Quick Cast 1] to the user after using a Mimic attack"
"201061403","Gogo (VI)","Masterful Mimic","Mimic attacks deal 25% more damage"
"201061404","Gogo (VI)","Hastening (Gogo (VI))","Grants [Quick Cast 3] after using three Black Magic/Combat abilities"
"201061500","Umaro","Yeti of Narshe","Increases Ice damage dealt by 10%"
"201061501","Umaro","Furry Sidekick","35% chance to dualcast abilities that deal Ice damage"
"201061502","Umaro","Ughaaa!","Grants [Attach Ice] at the beginning of the battle"
"201061503","Umaro","Onslaught (Umaro)","35% chance to cast Snow Play (50%) or Icicle Play (50%) after using Monk or Sharpshooter abilities"
"","Umaro","Bravery: Umaro","Increases Physical damage dealt by 10% when equipped with Hammer, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201061600","Kefka","Maniacal Mage","Increases Dark damage dealt by 10%"
"201061601","Kefka","Jester of Doom","30% chance to grant [Quick Cast 3] to the user after using a Dark attack"
"201061602","Kefka","Conniving Clown","25% chance to dualcast abilities that deal Dark damage"
"201061603","Kefka","Destruction's Delight","Grants [Attach Dark] at the beginning of the battle"
"201061604","Kefka","Bravery: Kefka","Increases Dark/Poison damage dealt by 10%, 100% chance to dualcast every third Dark/Poison ability, Grants [200% ATB 1] at the beginning of the battle"
"201061800","Leo","Imperial Conscience","Knight abilities deal 15% more damage"
"201061801","Leo","Noble General","35% chance to dualcast Knight abilities"
"201061802","Leo","In Search of Peace","PHY attacks deal 20% more damage when equipping a sword"
"201061803","Leo","Born General","Grants [Attach Earth] at the beginning of the battle"
"201070100","Cloud","Lone Wolf","PHY attacks deal 10% more damage"
"201070101","Cloud","Mantle Bearer","35% chance to dualcast Combat abilities"
"201070102","Cloud","Sprinting Wolf","35% chance to grant [Quick Cast 1] to the user after using a Wind attack"
"201070103","Cloud","Truth Surmounted","25% chance to dualcast abilities that deal Wind damage"
"201070104","Cloud","Light Seeker","35% chance to grant [Quick Cast 1] to the user after using a Dark attack"
"201070105","Cloud","Broken Illusions","Grants [Attach Wind] at the beginning of the battle"
"201070106","Cloud","Borrowed Blade","Grants [Attach Dark] at the beginning of the battle"
"201070107","Cloud","Self Forgiveness","PHY attacks deal 20% more damage when equipping a sword"
"201070108","Cloud","Bravery: Cloud","100% chance to dualcast every third Wind ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle"
"201070200","Barret","Hot-Blooded","PHY attacks deal 10% more damage"
"201070201","Barret","Vermin Exterminator","35% chance to cast an ability (PHY: random, 7x 0.31 ranged physical Fire/NE) after using a Machinist ability"
"201070202","Barret","Armed and Dangerous","PHY attacks deal 20% more damage when equipping a gun-arm"
"201070203","Barret","Opposition Leader","25% chance to dualcast Machinist abilities"
"201070204","Barret","Swiftness (Barret)","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201070300","Tifa","Heroic Devotion","Increases Earth damage dealt by 10%"
"201070301","Tifa","Fighter's Instinct","30% chance to grant [Quick Cast 3] to the user after using a Monk ability"
"201070302","Tifa","Brawling Barkeep","ATK +1% for each hit dealt with damaging PHY attacks, up to +35%"
"201070303","Tifa","Friendly Fighter","Grants [Attach Earth] at the beginning of the battle"
"201070304","Tifa","First-Class Fighter","25% chance to dualcast Monk abilities"
"201070400","Aerith","Daughter of the Ancients","WHT abilities restore 15% more HP"
"201070401","Aerith","Motherly Protector","35% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability, can trigger on dualcasts"
"201070402","Aerith","Flower of the Slums","25% chance to dualcast White Magic abilities"
"201070500","Red XIII","Dire Fang","Support abilities deal 15% more damage"
"201070501","Red XIII","Proud Warrior","Increases the duration of stat buffs by 40%"
"201070502","Red XIII","Hero's Son","Increases the duration of stat debuffs by 30%"
"201070503","Red XIII","Elder Race","25% chance to dualcast Black Magic abilities"
"201070504","Red XIII","Warrior's Talisman","Grants [Quick Cast], grants [Lingering Spirit] for 25 seconds when HP fall below 20%"
"201070505","Red XIII","Bravery: Red XIII (Earth)","Increases Earth damage dealt by 10%, grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201070600","Yuffie","The Elder Ways","Increases Water damage dealt by 10%"
"201070601","Yuffie","Keen Ninja","35% chance to dualcast Ninja abilities"
"201070602","Yuffie","Finders Keepers","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability"
"201070603","Yuffie","Catalyst (Yuffie)","Grants [Materia Hunt Mode] after using three Ninja abilities (only triggers once per battle)"
"201070700","Cait Sith","Felicitous Fortune-teller","Reduces damage taken by BLK attacks by 10%"
"201070701","Cait Sith","Courage Boost!","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability"
"201070702","Cait Sith","Divided Loyalties","Grants [Quick Cast 3] at the beginning of the battle"
"201070703","Cait Sith","Hastening (Cait Sith)","Grants [Quick Cast 3] after using three Dancer/Bard abilities"
"201070800","Vincent","Turk Among Turks","Increases Fire damage dealt by 10%"
"201070801","Vincent","Beast Within","Restores HP for 100% of the user's maximum HP and grants [Beast Mode] when HP fall below 20%"
"201070802","Vincent","Seeing Red","25% chance to dualcast abilities that deal Fire damage"
"201070803","Vincent","Beastly Aspect","Grants [Quick Cast 3] at the beginning of the battle"
"201070900","Zack","SOLDIER's Honor","Celerity abilities deal 15% more damage"
"201070901","Zack","SOLDIER's Swiftness","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201070902","Zack","SOLDIER Follow-Up","50% chance to cast an ability (PHY: single, 1.08 physical Wind) after using a Celerity ability"
"201070903","Zack","SOLDIER Dreams","25% chance to dualcast abilities that deal Wind damage"
"201071000","Sephiroth","Fallen Hero","PHY attacks deal 10% more damage when equipping a katana"
"201071001","Sephiroth","Jenova's Echo","Restores HP for 100% of the user's maximum HP and grants [Sephiroth Trance] when HP fall below 20%"
"201071002","Sephiroth","Fateful Secret","Grants [Attach Dark] at the beginning of the battle"
"201071003","Sephiroth","Apocalyptic Hero","25% chance to dualcast Darkness abilities"
"201071004","Sephiroth","Cruelest Cut","25% chance to dualcast Samurai abilities"
"201071005","Sephiroth","Refinement (Sephiroth)","PHY attacks deal 25% more damage"
"201071100","Cid (VII)","Captain's Habit","Increases Wind damage dealt by 10%"
"201071101","Cid (VII)","Air Supremacy","ATK +2% for each hit dealt with PHY attacks that deal Wind damage, up to +50%"
"201071102","Cid (VII)","Champion of the Skies","Jump attacks deal 20% more damage when equipping a spear"
"201071103","Cid (VII)","Spacefarer","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201071104","Cid (VII)","Re-action (Cid (VII))","100% chance to dualcast every third Dragoon ability"
"201071200","Reno","Master of Lightning","Increases Lightning damage dealt by 10%"
"201071201","Reno","Finishing Business","35% chance to dualcast abilities that deal Lightning damage"
"201071202","Reno","Swaggering Investigator","Grants [Attach Lightning] at the beginning of the battle"
"201071203","Reno","Refinement (Reno)","Increases Lightning damage dealt by 25%"
"201071800","Rufus","Shinra Scion","PHY attacks deal 10% more damage when equipping a gun"
"201071801","Rufus","Scheming Son","30% chance to cause [Imperil Dark 10% (15s)] to the target after using a Dark attack"
"201071802","Rufus","Titan of Industry","35% chance to grant [Quick Cast 1] to the user after using a Dark attack"
"201071803","Rufus","Presidential Prerogative","25% chance to dualcast Dark abilities"
"201071804","Rufus","Swiftness (Rufus)","Grants [Quick Cast] and [Mako Duet Follow-Up] at the beginning of the battle"
"201071900","Shelke","Crackling Spears","Increases Lightning damage dealt by 10%"
"201071901","Shelke","The Transparent","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201071902","Shelke","Edge of Eternity","Increases the duration of stat debuffs by 30%"
"201071903","Shelke","Shaper of Fate","25% chance to dualcast Celerity abilities"
"201071904","Shelke","Subversion (Shelke)","Causes [Imperil Lightning 10% (15s)] after using three Celerity or Support abilities"
"201071500","Angeal","1st Uniter","PHY attacks deal 10% more damage"
"201071501","Angeal","Respected Warrior","Restores HP for 100% of the user's maximum HP and grants [Angeal Trance] when HP fall below 20%"
"201071502","Angeal","Beating Wings","25% chance to dualcast abilities that deal Holy or Wind damage"
"201072000","Rude","Humorous Disposition","Increases Earth damage dealt by 10%"
"201072001","Rude","Business First","35% chance to dualcast abilities that deal Earth damage"
"201072002","Rude","Paying Respect","Grants [Attach Earth] at the beginning of the battle"
"201072100","Elena","Clumsy Recruit","Increases Fire damage dealt by 10%"
"201072101","Elena","Hard Worker","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201072102","Elena","Faint Respect","25% chance to dualcast Sharpshooter abilities"
"201078000","Genesis","Rhapsodic Recitation","Increases Fire damage dealt by 10%"
"201078001","Genesis","Project G Creation","Restores HP for 100% of the user's maximum HP and grants [Black Flurry Mode] when HP fall below 20%"
"201078002","Genesis","Fierce Opposition","PHY attacks deal 20% more damage when equipping a sword"
"201080100","Squall","Heart of the Lion","Spellblade abilities deal 15% more damage"
"201080101","Squall","Legendary SeeD","35% chance to dualcast Spellblade abilities"
"201080102","Squall","Slavering Fangs","Grants [Attach Ice] at the beginning of the battle"
"201080103","Squall","Hidden Charms","Grants [Attach Fire] at the beginning of the battle"
"201080104","Squall","Lion of Battle","Grants [Quick Cast 3] at the beginning of the battle"
"201080200","Rinoa","Daring Beauty","BLK attacks deal 10% more damage"
"201080201","Rinoa","Breaker of the Circle","30% chance to grant [Quick Cast 3] to the user after using a BLK attack"
"201080202","Rinoa","Defier of Fate","MAG +1% for each hit dealt with damaging BLK attacks, up to +20%"
"201080203","Rinoa","Lovestruck Sorceress","Grants [Attach Earth] at the beginning of the battle"
"201080204","Rinoa","Daughter of the Resistance","Grants [Attach Ice] at the beginning of the battle"
"201080205","Rinoa","Witching Wings","25% chance to dualcast Black Magic abilities"
"201080206","Rinoa","Reluctant Successor","25% chance to dualcast Witch abilities"
"201080207","Rinoa","Bravery: Rinoa","Increases Ice/Earth damage dealt by 10%, 100% chance to dualcast every third Ice/Earth ability, Grants [200% ATB 1] at the beginning of battle"
"201080300","Quistis","Elementary Lessons","Reduces damage taken by BLK attacks by 10%"
"201080301","Quistis","Elite Instruction","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201080302","Quistis","SeeD Star","25% chance to dualcast Black Magic abilities"
"201080303","Quistis","Bravery: Quistis","Increases Water/Poison damage dealt by 10%, 100% chance to dualcast every third Water/Poison ability, Grants [200% ATB 1] at the beginning of battle"
"201080400","Zell","Combat King Aficionado","PHY attacks deal 10% more damage when equipping a fist weapon"
"201080401","Zell","Singular Reflexes","30% chance to grant [Quick Cast 3] to the user after dealing a critical hit"
"201080402","Zell","Untamed Spirit","Grants [50% Critical] at the beginning of the battle"
"201080403","Zell","Prize Fighter","25% chance to dualcast Monk abilities"
"201080404","Zell","Renowned Recklessness","Grants [Attach Fire] at the beginning of the battle"
"201080405","Zell","Bravery: Zell (Fire)","Increases Fire damage dealt by 10%, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201080500","Selphie","Certain Smile","WHT abilities restore 15% more HP"
"201080501","Selphie","Homesick Heroine","35% chance to dualcast White Magic abilities"
"201080502","Selphie","SeeD Spirit","20% chance to grant [Last Stand] to the target after using a single-target White Magic ability that restores HP on an ally"
"201080503","Selphie","Dream Fulfilled","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability"
"201080504","Selphie","Spirit of Trabia","MND +1% for each hit dealt with Dancer abilities, up to +25%"
"201081200","Irvine","Sincere Sniper","PHY attacks deal 10% more damage when equipping a gun"
"201081201","Irvine","Trigger Finger","30% chance to grant [Quick Cast 3] to the user after using a Sharpshooter or Machinist ability"
"201081202","Irvine","Key to the Past","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Sharpshooter or Machinist ability"
"201081203","Irvine","Re-action (Irvine)","100% chance to dualcast every third Fire ability"
"201080700","Seifer","Bad Seed","Increases Dark damage dealt by 10%"
"201080701","Seifer","Drive to Win","Grants [Last Stand] and [Reraise: 40%] at the beginning of the battle"
"201080702","Seifer","Relentless Assassin","ATK +3% for each hit taken by damaging attacks, up to +35%"
"201080703","Seifer","Moral Tyrant","Grants [Attach Dark] at the beginning of the battle"
"201080704","Seifer","Egotistical Dreamer","25% chance to dualcast Darkness abilities"
"201080705","Seifer","Bravery: Seifer","Increases Dark/Fire damage dealt by 10%, 100% chance to dualcast every third Dark/Fire ability, Grants [200% ATB 1] at the beginning of battle"
"201080900","Laguna","Aspiring Journalist","Machinist abilities deal 15% more damage"
"201080901","Laguna","Tactical Gunner","35% chance to dualcast Machinist abilities"
"201080902","Laguna","Splash of Fun","20% chance to cause [Imperil Ice 10% (15s)] to the target after using a Machinist ability"
"201080903","Laguna","Disarming Smile","Grants [Attach Ice] at the beginning of the battle"
"201081000","Edea","Beauty's Tutelage","BLK attacks deal 10% more damage"
"201081001","Edea","Future Secrets","MAG +1% for each hit dealt with BLK attacks that deal Ice damage, up to +30%"
"201081002","Edea","Overwhelming Power","35% chance to grant [Quick Cast 1] to the user after using a Ice attack"
"201081003","Edea","Succession Broken","Grants [Attach Ice] at the beginning of the battle"
"201081004","Edea","Mother Figure","25% chance to dualcast abilities that deal Ice damage"
"201081005","Edea","Bravery: Edea","Increases Ice/Dark damage dealt by 10%, Grants [200% ATB 1] at the beginning of the battle, and casts [Brave Crystal's Might (Edea)] after using three Ice/Dark abilities (max 1)"
"201080600","Raijin","Bold Bolt","Increases Lightning damage dealt by 10%"
"201080601","Raijin","Test of Bravery","ATK +2% for each hit dealt with Monk abilities, up to +50%"
"201080602","Raijin","Thunderous Crescendo","35% chance to grant [Quick Cast 1] to the user after using a Monk ability"
"201080603","Raijin","Bad Crowd","Grants [Attach Lightning] at the beginning of the battle"
"201080604","Raijin","Semper Seifer","25% chance to dualcast Monk abilities"
"201080605","Raijin","Bravery: Raijin","Increases Physical Damage dealt by 10% when equipped with Hammer, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201081300","Fujin","Biting Winds","Increases Wind damage dealt by 10%"
"201081301","Fujin","Blistering Speed","30% chance to grant [Quick Cast 3] to the user after using a Wind attack"
"201081302","Fujin","Raging Winds","Grants [Attach Wind] at the beginning of the battle"
"201081303","Fujin","AFFIRMATIVE!","25% chance to dualcast abilities that deal Wind damage"
"201081304","Fujin","Onslaught (Fujin)","35% chance to cast Geki after dealing damage with a Wind attack"
"201082000","Ultimecia","Hubris","BLK attacks deal 10% more damage"
"201082001","Ultimecia","Witch's Wiles","35% chance to dualcast abilities that deal Wind damage"
"201082002","Ultimecia","Arrogant Ambition","Grants [Attach Wind] at the beginning of the battle"
"201082003","Ultimecia","Existence Denied","Grants [Attach Dark] at the beginning of the battle"
"201082004","Ultimecia","Power of Succession","25% chance to dualcast abilities that deal Dark damage"
"201082005","Ultimecia","Refinement (Ultimecia)","BLK attacks deal 25% more damage"
"201081500","Kiros","Katar Master","PHY attacks deal 10% more damage"
"201081501","Kiros","Slim Sidekick","35% chance to dualcast abilities that deal Dark or Ice damage"
"201081502","Kiros","Exotic Presence","20% chance to cause [Imperil Dark 10% (15s)] to the target after using a Ninja or Sharpshooter ability"
"201081503","Kiros","Subversion (Kiros)","Causes [Imperil Ice 10% (15s)] after using three Ice abilities"
"201081504","Kiros","Bravery: Kiros","Increases Dark/Ice damage dealt by 10%, 100% chance to dualcast every third Dark/Ice ability, Grants [200% ATB 1] at the start of battle"
"201081600","Ward","Harpoon Master","PHY attacks deal 10% more damage"
"201081601","Ward","Stocky Sidekick","35% chance to cast Up a Point after using an ability that deals Water, Ice or Earth damage"
"201081602","Ward","Scarred Soldier","PHY attacks deal 20% more damage when equipping a hat"
"201081603","Ward","Re-action (Ward)","100% chance to dualcast every third Water, Ice or Earth ability"
"201090100","Zidane","Mercurial Thief","Increases Wind damage dealt by 10%"
"201090101","Zidane","World in Red","Restores HP for 100% of the user's maximum HP and grants [Zidane Trance] when HP fall below 20%"
"201090102","Zidane","Snap Judgment","35% chance to grant [Quick Cast 1] to the user after using a Thief ability"
"201090103","Zidane","Thief's Ploy","25% chance to dualcast abilities that deal Wind damage"
"201090104","Zidane","Swiftness (Zidane)","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201090200","Garnet","Hidden Lineage","SUM attacks deal 10% more damage"
"201090201","Garnet","Doubt Abandoned","Restores HP for 100% of the user's maximum HP and grants [Garnet Trance] when HP fall below 20%"
"201090202","Garnet","Noble Resolve","Increases the duration of stat buffs by 30%"
"201090203","Garnet","Lover of the Arts","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability"
"201090204","Garnet","Proven Princess","Grants [Attach Lightning] at the beginning of the battle"
"201090205","Garnet","Your Canary","Grants [Quick Cast 3] at the beginning of the battle"
"201090206","Garnet","Re-action (Garnet)","100% chance to dualcast every third Summoning ability"
"201090300","Vivi","Spark of Memory","Increases Fire damage dealt by 10%"
"201090301","Vivi","Will to Live","Restores HP for 100% of the user's maximum HP and grants [Vivi Trance] when HP fall below 20%"
"201090302","Vivi","Magic Suffusion","Cast speed x0.77 for BLK attacks, BLK attacks deal 25% more damage"
"201090303","Vivi","Part of the Sky","Grants [Attach Fire] at the beginning of the battle"
"201090304","Vivi","Untapped Power","Black Magic abilities deal 25% more damage when equipping a rod or staff"
"201090400","Steiner","For the Crown","PHY attacks deal 10% more damage when equipping a sword"
"201090401","Steiner","Walker of the Path","Restores HP for 100% of the user's maximum HP and grants [Steiner Trance] when HP fall below 20%"
"201090402","Steiner","Opportunity Strikes","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Spellblade ability"
"201090403","Steiner","Loyal Guard","25% chance to dualcast Spellblade abilities"
"201090404","Steiner","Honed Judgment","Spellblade abilities deal 25% more damage when equipping a sword"
"201090500","Freya","Dragoon's Grace","Increases Wind damage dealt by 10%"
"201090501","Freya","Undying Love","Restores HP for 100% of the user's maximum HP and grants [Freya Trance] when HP fall below 20%"
"201090502","Freya","Devoted Dragoon","25% chance to cast an ability (PHY: single, 2x 0.54 physical Wind/NE, smart ether 1 to the user) after using a Dragoon ability"
"201090503","Freya","Woman of Courage","Grants [Attach Wind] at the beginning of the battle"
"201090504","Freya","Astounding Leap","Grants [No Air Time 1] to the user after using a Dancer ability"
"201090505","Freya","Bravery: Freya","Increases Wind damage dealt by 10%, 100% chance to dualcast every third Wind ability, Grants [200% ATB 1] at the beginning of battle"
"201090600","Quina","Qu Prowess","PHY attacks deal 10% more damage when equipping a spear"
"201090601","Quina","Qu Banquet","Restores HP for 100% of the user's maximum HP, grants 500 SB points and grants [Quina Trance] when HP fall below 20%"
"201090602","Quina","Qu Vigilance","Grants [Last Stand] and [High Regen] at the beginning of the battle"
"201090603","Quina","Culinary Enlightenment","Grants [Quick Cast 3] at the beginning of the battle"
"201090700","Eiko","Aspiring Lady","WHT abilities restore 15% more HP"
"201090701","Eiko","Ward of Madain Sari","Restores HP for 100% of the user's maximum HP and grants [Eiko Trance] when HP fall below 20%"
"201090702","Eiko","Homesick Summoner","25% chance to dualcast White Magic abilities"
"201090703","Eiko","Descendent of Legends","25% chance to dualcast Summoning abilities"
"201090704","Eiko","Smitten Sweetheart","15% chance to cast an ability (WHT: group, restores HP (25)) after using a Summoning ability"
"201090800","Amarant","Speak Softly","Increases Fire damage dealt by 10%"
"201090801","Amarant","Profound Awakening","Restores HP for 100% of the user's maximum HP and grants [Amarant Trance] when HP fall below 20%"
"201090802","Amarant","Below-the-Board","35% chance to grant [Quick Cast 1] to the user after using a Monk ability"
"201090803","Amarant","Stolid Bodyguard","25% chance to dualcast Monk abilities"
"201090804","Amarant","Smoldering Flame","Grants [Attach Fire] at the beginning of the battle"
"201090805","Amarant","Bravery: Amarant (Fire)","Increases Fire damage dealt by 10%, 100% chance to dualcast every third Fire ability, Grants [200% ATB 1] at the beginning of the battle"
"201090900","Beatrix","First Paladin","Increases Holy damage dealt by 10%"
"201090901","Beatrix","Paladin's Purpose","35% chance to dualcast Knight abilities"
"201090902","Beatrix","Undying Loyalty","30% chance to cover PHY attacks that target allies, reducing damage taken by 20%"
"201090903","Beatrix","Proud General","Grants [Attach Holy] at the beginning of the battle"
