"Common Name","Effects","Default Duration","MND Modifier","Exclusive Status","ID"
"Auto Firebolt Barrage","Casts Firebolt Barrage every 3.50 seconds","15","-","All other ""Auto"" status","50029"
"EX: Speed Combo","ATK +30%, grants [Physical High Quick Cast 1] to all allies in the front row after using a Knight ability","15","-","-","50030"
"Everlasting Darkness Follow-Up","Casts Everlasting Darkness after dealing damage with a Darkness ability","15","-","-","50031"
"Heavy Grinder Speed x1,11","Cast speed x1.11 for Heavy Grinder","-","-","-","50032"
"Heavy Grinder Speed x1,43","Cast speed x1.43 for Heavy Grinder","-","-","-","50033"
"Heavy Grinder Speed x2,00","Cast speed x2.00 for Heavy Grinder","-","-","-","50034"
"Heavy Grinder Speed x3,33","Cast speed x3.33 for Heavy Grinder","-","-","-","50035"
"Heavy Grinder Speed x10,00","Cast speed x10.00 for Heavy Grinder","-","-","-","50036"
"Auto Storm's Retribution","Casts Storm's Retribution every 3.50 seconds","15","-","All other ""Auto"" status","50037"
"Black Magic Double","Dualcasts Black Magic abilities consuming an extra ability use","15","-","-","50038"
"Shining Knight Mode","Grants [Attach Fire]/[Attach Ice]/[Attach Lightning] after taking Fire/Ice/Lightning damage from a BLK, WHT, BLU or SUM attack used by another ally","15","-","-","50039"
"Flashing Blade Counter","Keeps track of the number of uses of Flashing Blade","25","-","-","50040"
"Garnet Trance","MAG and MND +30%, cast speed x2.00","25","-","-","50041"
"Eiko Trance","MAG and MND +30%, cast speed x2.00","25","-","-","50042"
"Lightning Sigil Follow-Up","Casts Lightning Sigil after dealing damage with a Black Magic ability","15","-","-","50043"
"Knight Rank Boost","Knight abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50044"
"Phantom Regen","Heals for 15% max HP every 3.50 seconds","15","-","Poison, Sap","50045"
"EX: Ninja","ATK +30%, cast speed x1.30 plus x0.30 for each ability used for the duration of the status, up to x3.40","15","-","-","50046"
"EX: Sage","MAG +30%, BLK attacks deal 15% more damage","15","-","-","50047"
"Machinist Quick Cycle: Fire","Grants [Quick Cast 1] after using a Machinist ability","15","-","All other ""Machinist Quick Cycle"" status","50048"
"Auto Chain of Destruction","Casts Chain of Destruction every 3.50 seconds","15","-","All other ""Auto"" status","50049"
"EX: Farseer","MAG +30%, grants [High Quick Cast 1] after using a Ice attack","15","-","-","50050"
"Revenge Counter","Counters enemy PHY and BLK attacks with Revenge Counter","15","-","-","50051"
"Flame Hunt Follow-Up","Casts Flame Hunt after using a Fire attack","15","-","-","50052"
"Firebird Strike Follow-Up","Casts Firebird Strike after using a Fire attack","15","-","-","50053"
"EX: Dominion","MND +50%, DEF and RES -15%, grants [High Quick Cast 1] to the user after exploiting elemental weakness","15","-","-","50054"
"Assault Mode","Cast speed x2.00, casts Rush Blade after using a Spellblade ability, removed upon taking damage","-","-","-","50055"
"Queen Trance","ATK +50%, RES -50%, cast speed x2.00","25","-","-","50056"
"Null Physical","Reduces to 0 all damage received from PHY attacks that deal physical damage","-","-","-","50057"
"Null Magical","Reduces to 0 all damage received from BLK, WHT, BLU or SUM attacks that deal magical damage","-","-","-","50058"
"No Air Time 4","Changes the air time of Jump attacks to 0.01 seconds, lasts for 4 turns","-","-","-","50059"
"Dragoon Quick Cycle: Wind","Grants [Quick Cast 1] after using a Dragoon ability","15","-","Dragoon Quick Cycle","50060"
"Blood of the Dragon","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status","50061"
"Icebrand Follow-Up","Casts Icebrand after dealing damage with a Ice attack","15","-","-","50062"
"Wildfire Finisher","Casts Wildfire when removed","15","-","-","50063"
"Haurchefant Cover","While front row, 100% chance to cover PHY, BLK, WHT, BLU and SUM attacks that target back row allies, reducing damage taken by 50%","15","-","-","50064"
"Darkness Quick Cycle","Grants [Quick Cast 1] after using a Darkness ability","15","-","-","50065"
"Witch Quick Cycle","Grants [Quick Cast 1] after using a Witch ability","15","-","-","50066"
"Grip of Chaos Follow-Up","Casts Grip of Chaos after using a Darkness ability","15","-","-","50067"
"Flurry Follow-Up","Casts Follow-Up Flurry after dealing a critical hit","15","-","-","50068"
"Tceles Nottub B Follow-Up","Casts Tceles Nottub B after exploiting elemental weakness","15","-","-","50069"
"EX: Sword Saint","ATK +50%, dualcasts Knight and Darkness abilities consuming an extra ability use","15","-","-","50070"
"Infinite Haste","Wait speed x2.00","-","-","Haste, Slow","50071"
"Chain Cast Counter","Keeps track of the number of uses of Chain Cast, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-","50072"
"EX: Chosen Sorceress","MAG +30%, casts Angel Wing Ice Mist after dealing damage with a Black Magic ability","15","-","-","50073"
"Slice Follow-Up","Casts Slice after using two Wind attacks","15","-","-","50074"
"Clean Shot Follow-Up","Casts Clean Shot after using three Sharpshooter abilities","15","-","-","50075"
"Attach Lightning Stacking","Allow to stack Attach Lightning , up to Attach Lightning 3","25","-","-","50076"
"Attach Fire Stacking","Allow to stack Attach Fire, up to Attach Fire 3","25","-","-","50077"
"Attach Wind Stacking","Allow to stack Attach Wind, up to Attach Wind 3","25","-","-","50078"
"Attach Ice Stacking","Allow to stack Attach Ice, up to Attach Ice 3","25","-","-","50079"
"Torrent Blade Follow-Up","Casts Torrent Blade after using a Water attack","15","-","-","50080"
"Wind Quick Cycle","Grants [Quick Cast 1] after using a Wind attack","15","-","-","50082"
"Stock Raid Follow-Up","Casts Stock Raid after dealing damage with a Holy attack","15","-","-","50084"
"Sandwind Blade Follow-Up","Casts Sandwind Blade after using a Knight ability","15","-","-","50085"
"EX: Angel of Death","Darkness abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, casts Ultima (IX) when removed","15","-","-","50086"
"Spellblade Rank Boost","Spellblade abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50087"
"Ninja Rank Boost","Ninja abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50088"
"Lupine Chase Follow-Up","Casts Lupine Chase after using a Earth attack","15","-","-","50089"
"Dance of the Flame Follow-Up","Casts Dance of the Flame after dealing damage with a Fire attack","15","-","-","50090"
"Freya Trance","ATK and RES +30%, casts Undying Love after using a Dragoon jump attack","25","-","-","50091"
"Quina Trance","ATK, DEF, MAG, RES and MND +15%","25","-","-","50093"
"Null Ninjutsu","Reduces to 0 all damage received from NIN attacks","-","-","-","50094"
"Sephira Follow-Up","Casts Sephira after using a Dark attack","15","-","-","50095"
"EX: Last Summoner","MAG +30%, casts Sonic Ray after dealing damage with a Summoning ability, smart ether 2 when removed","15","-","-","50096"
"Aqua Toxin Follow-Up","Casts Aqua Toxin after using a Water attack","15","-","-","50097"
"Savage Follow-Up","Casts Savage Follow-Up after dealing damage with a Dark attack","15","-","-","50098"
"Monk Quick Cycle: Non-Elemental","Grants [Quick Cast 1] after using a Monk ability","15","-","Monk Quick Cycle","50099"
"Abyssal Bite Follow-Up","Casts Abyssal Bite after using a Darkness ability","15","-","-","50100"
"Attach Water Stacking","Allow to stack Attach Water, up to Attach Water 3","25","-","-","50101"
"White Magic Double","Dualcasts White Magic abilities consuming an extra ability use","15","-","-","50102"
"Monk Rank Boost","Monk abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50103"
"White Magic Rank Boost","White Magic abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50104"
"Icicle Bite Counter","Keeps track of the number of uses of Icicle Bite, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-","50105"
"Seraph-Wing Buffet Follow-Up","Casts Seraph-Wing Buffet after using a Holy or Dark attack","15","-","-","50106"
"Dia Splash Follow-Up","Casts Dia Splash after using a Holy attack","15","-","-","50107"
"Titan Strike Follow-Up","Casts Titan Strike after using a Knight ability","15","-","-","50108"
"Heavy Charge X","Keeps track of the Heavy Charge level, up to level 2","15","-","-","50109"
"Heavy Charge +1","Increases the Heavy Charge level by 1 when set","-","-","-","50110"
"Heavy Charge +2","Increases the Heavy Charge level by 2 when set","-","-","-","50111"
"Heavy Charge =0","Sets the Heavy Charge level to 0 when set","-","-","-","50112"
"Heavy Charge Booster","Increases the Heavy Charge level by 1 when the Heavy Charge level is increased","15","-","-","50113"
"Machinist Double","Dualcasts Machinist abilities consuming an extra ability use","15","-","-","50114"
"Heavy Rank Boost","Heavy abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50115"
"Wild Lance Follow-Up","Casts Wild Lance after dealing damage with a Dragoon ability","15","-","-","50116"
"Sacred Bard 1","Used to determine the effect of Goddess's Hymn","10","-","Sacred Bard 2, Sacred Bard 3, Sacred Bard 4","50118"
"Sacred Bard 2","Used to determine the effect of Goddess's Hymn","10","-","Sacred Bard 1, Sacred Bard 3, Sacred Bard 4","50119"
"Sacred Bard 3","Used to determine the effect of Goddess's Hymn","10","-","Sacred Bard 1, Sacred Bard 2, Sacred Bard 4","50120"
"Sacred Bard 4","Used to determine the effect of Goddess's Hymn","10","-","Sacred Bard 1, Sacred Bard 2, Sacred Bard 3","50121"
"Summoning Rank Boost","Summoning abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50122"
"EX: Adventurer","ATK +30%, casts Valiant Flame after using a Fire attack","15","-","-","50123"
"Spellblade Double","Dualcasts Spellblade abilities consuming an extra ability use","15","-","-","50124"
"EX: Machinist","ATK +30%, Machinist cast speed x2.00, casts Poison/Fire/Lightning Enfeeble after dealing damage with a Poison/Fire/Lightning Machinist ability","15","-","-","50125"
"Machinist Rank Boost","Machinist abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50126"
"Sword Arts Follow-Up","Casts Sword Arts after using a Knight ability","15","-","-","50127"
"EX: Prophesied Warrior","Knight abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, casts Bright Finale when removed","15","-","-","50128"
"Attach Holy Stacking","Allow to stack Attach Holy, up to Attach Holy 3","25","-","-","50129"
"Ingredients X","Keeps track of the Ingredients level, up to level 2, removed if the user hasn't Burst Mode","-","-","-","50130"
"Ingredients +1","Increases the Ingredients level by 1 when set","-","-","-","50131"
"Ingredients +2","Increases the Ingredients level by 2 when set","-","-","-","50132"
"Ingredients -1","Decreases the Ingredients level by 1 when set","-","-","-","50133"
"Sagefire","Grants [Quick Cast 1] to all allies in the character's row after using a Fire attack","15","-","-","50134"
"Dragon Boost Follow-Up","Casts Dragon Boost after dealing damage with a Dragoon ability","15","-","-","50135"
"Moonlight's Blessing Counter","Keeps track of the number of uses of Moonlight's Blessing, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-","50136"
"Darkness Rank Boost","Darkness abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50137"
"EX: Lunarian","ATK and DEF +30%, restores 1500 HP to all allies in the front row after using a Knight ability","15","-","-","50138"
"Fair Wind Follow-Up","Casts Fair Wind after using a Wind attack","15","-","-","50139"
"EX: Red Wings","ATK +30%, cast speed x3.00 for Darkness abilities, dualcasts Darkness abilities, removed if the user doesn't have any Stoneskin","-","-","-","50140"
"Regenga","Heals for 2000 HP every 2.00 seconds","4","1.00%","Low Regen, Medium Regen, High Regen, Poison, Sap, Zombie","50141"
"Monk Double","Dualcasts Monk abilities consuming an extra ability use","15","-","-","50142"
"EX: True Form","ATK +30%, casts Storm Hazard after using a Wind attack","15","-","-","50143"
"EX: No Discussion","ATK +30%, casts Strongest Swordplay after using a Samurai ability","15","-","-","50144"
"Combat Rank Boost","Combat abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50145"
"Tactical Bard 1","Used to determine the effect of Ode to Victory","10","-","Tactical Bard 2, Tactical Bard 3, Tactical Bard 4","50147"
"Tactical Bard 2","Used to determine the effect of Ode to Victory","10","-","Tactical Bard 1, Tactical Bard 3, Tactical Bard 4","50148"
"Tactical Bard 3","Used to determine the effect of Ode to Victory","10","-","Tactical Bard 1, Tactical Bard 2, Tactical Bard 4","50149"
"Tactical Bard 4","Used to determine the effect of Ode to Victory","10","-","Tactical Bard 1, Tactical Bard 2, Tactical Bard 3","50150"
"EX: Lion","ATK +30%, casts Renzokuken Ice Fang after using a Spellblade ability","15","-","-","50151"
"EX: Connected Hearts","ATK +30%, casts Judgment after using a Fire, Ice or Lightning Spellblade ability","15","-","-","50152"
"Darkhand Scourge Follow-Up","Casts Darkhand Scourge after using a Dark attack","15","-","-","50153"
"Gilgamesh Trance","ATK, DEF and RES +30%, cast speed x3.00","25","-","-","50154"
"Seeker of Truth","Grants [High Quick Cast 1] to the user and casts Knight's Lightblade after using a Holy attack","15","-","-","50156"
"Divine Purge Follow-Up","Casts Divine Purge after using two Knight abilities","15","-","-","50157"
"Winds of Ruin Counter","Keeps track of the uses of Winds of Ruin, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-","50158"
"Arcanum Counter","Keeps track of the uses of Arcanum, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-","50159"
"Thievery Finisher","Casts Thievery when removed","15","-","-","50161"
"Amarant Trance","ATK and RES +30%, 50% chance to restore 1500 HP to all allies after using a Monk ability","25","-","-","50162"
"Thief Rank Boost","Thief abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50163"
"EX: Crystal Might","Spellblade abilities deal 30/35/40/45/50/55/60/65/70% more damage after using 0/1/2/3/4/5/6/7/8 Wind, Water, Fire or Earth attacks, casts Spellblade Finish when removed","15","-","-","50164"
"Renzokuken Ice Fang Counter","Keeps track of the uses of Renzokuken Ice Fang, removed if the user hasn't EX: Lion, reset upon refreshing EX: Lion","-","-","-","50165"
"Beast Rush Follow-Up","Casts Beast Rush after using a Fire attack","15","-","-","50166"
"Lingering Flame Finisher","Casts Lingering Flame when removed","15","-","-","50167"
"Friend's Promise 0","Grants [Friend's Promise 1] after using a Samurai ability, removed if the user hasn't Lingering Flame Finisher","15","-","All other ""Friend's Promise"" status","50168"
"Friend's Promise 1","Critical chance =30%, cast speed x2.00, grants [Friend's Promise 2] after using a Samurai ability, removed if the user hasn't Lingering Flame Finisher","15","-","All other ""Friend's Promise"" status","50169"
"Friend's Promise 2","Critical chance =50%, cast speed x2.50, grants [Friend's Promise 3] after using a Samurai ability, removed if the user hasn't Lingering Flame Finisher","15","-","All other ""Friend's Promise"" status","50170"
"Friend's Promise 3","Critical chance =75%, cast speed x3.00, grants [Friend's Promise 3] after using a Samurai ability, removed if the user hasn't Lingering Flame Finisher","15","-","All other ""Friend's Promise"" status","50171"
"EX: Wings of Freedom","ATK +30%, casts Spiral Rush after using a Thief ability","15","-","-","50172"
"Spiral Rush Counter","Keeps track of the uses of Spiral Rush, removed if the user hasn't EX: Wings of Freedom, reset upon refreshing EX: Wings of Freedom","-","-","-","50173"
"EX: Legendary SOLDIER","Grants [Dark +30% Boost 1] after using two Dark attacks, sets the damage cap for PHY Dark attacks to 99999","25","-","-","50174"
"Dark Drain","Restores HP for 10% of the damage dealt with Dark attacks","15","-","-","50175"
"Culling Scythe Finisher","Casts Culling Scythe when removed","15","-","-","50176"
"Malice Mode 0","Grants [Malice Mode 1] after using a Darkness ability, removed if the user hasn't Culling Scythe Finisher","15","-","All other ""Malice Mode"" status","50177"
"Malice Mode 1","Critical chance =30%, cast speed x2.00, grants [Malice Mode 2] after using a Darkness ability, removed if the user hasn't Culling Scythe Finisher","15","-","All other ""Malice Mode"" status","50178"
"Malice Mode 2","Critical chance =50%, cast speed x2.50, grants [Malice Mode 3] after using a Darkness ability, removed if the user hasn't Culling Scythe Finisher","15","-","All other ""Malice Mode"" status","50179"
"Malice Mode 3","Critical chance =75%, cast speed x3.00, grants [Malice Mode 3] after using a Darkness ability, removed if the user hasn't Culling Scythe Finisher","15","-","All other ""Malice Mode"" status","50180"
"Ironfist Earth Counter","Keeps track of the uses of Ironfist Earth","-","-","-","50181"
"Ironfist Fire Counter","Keeps track of the uses of Ironfist Fire","-","-","-","50182"
"EX: Forged Magitek","MAG +30%, casts Magitek Blast after using a Dark attack","15","-","-","50183"
"Magitek Blast Counter","Keeps track of the uses of Magitek Blast, removed if the user hasn't EX: Forged Magitek, reset upon refreshing EX: Forged Magitek","-","-","-","50184"
"Pirate's Steel Follow-Up","Casts Pirate's Steel after using two Thief abilities","15","-","-","50185"
"EX: Light's Wisdom","MAG +30%, cast speed x2.00 for magical damage, casts Wind/Water/Fire/Earth Onion Magic after using a Wind/Water/Fire/Earth Black Magic ability","15","-","-","50186"
"Samurai Rank Boost","Samurai abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50187"
"Black Magic Rank Boost","Black Magic abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50188"
"Brave Mode","Replaces the Attack command","-","-","Burst Mode, Synchro Mode","50189"
"Tidal Flood Follow-Up","Casts Tidal Flood after using a Water ability, smart ether 2 when removed","15","-","-","50190"
"Sweet Coffee Follow-Up","Casts Sweet Coffee after using a Earth attack","15","-","-","50192"
"Deep Freeze Follow-Up","Casts Deep Freeze after using two Black Magic abilities","15","-","-","50194"
"Surge Mode","Critical chance =50%, casts Pyroburst after using a Fire attack, removed if the user doesn't have any Stoneskin","-","-","-","50195"
"Non-Elemental +50% Boost","Increases Non-Elemental damage dealt by 50%","15","-","-","50196"
"EX: Future King","ATK +30%, cast speed x2.00, casts Warp Strike after using a Combat or Celerity ability","15","-","-","50197"
"Shield of the King Finisher","Casts Shield of the King when removed","15","-","-","50198"
"Furious Kick Finisher","Casts Furious Kick when removed","15","-","-","50199"
"Sentinel","DEF +200%, taunts single-target PHY and BLK attacks","25","-","-","502"
"Frying Pan 0","Grants [Frying Pan 1] after using a Monk ability, removed if the user hasn't Furious Kick Finisher","15","-","All other ""Frying Pan"" status","50200"
"Frying Pan 1","Critical chance =30%, cast speed x2.00, grants [Frying Pan 2] after using a Monk ability, removed if the user hasn't Furious Kick Finisher","15","-","All other ""Frying Pan"" status","50201"
"Frying Pan 2","Critical chance =50%, cast speed x2.50, grants [Frying Pan 3] after using a Monk ability, removed if the user hasn't Furious Kick Finisher","15","-","All other ""Frying Pan"" status","50202"
"Frying Pan 3","Critical chance =75%, cast speed x3.00, grants [Frying Pan 3] after using a Monk ability, removed if the user hasn't Furious Kick Finisher","15","-","All other ""Frying Pan"" status","50203"
"Intensifying Firaga Follow-Up","Casts Intensifying Firaga after using a Fire attack","15","-","-","50204"
"Intensifying Firaga Counter","Keeps track of the uses of Intensifying Firaga, removed if the user hasn't Intensifying Firaga Follow-Up, reset upon refreshing Intensifying Firaga Follow-Up","-","-","-","50205"
"EX: Farseer's Guardian","ATK +30%, casts Javelin Frost after using a Ice attack","15","-","-","50206"
"Earth Quick Cycle","Grants [Quick Cast 1] after using a Earth attack","15","-","-","50207"
"Anguished Rose Follow-Up","Casts Anguished Rose after using a Earth attack","15","-","-","50208"
"Combat/Celerity Double","Dualcasts Combat or Celerity abilities consuming an extra ability use","15","-","-","50209"
"Swift Poison Follow-Up","Casts Swift Poison after using a Thief ability","15","-","-","50212"
"Snowball Toss Follow-Up","Casts Snowball Toss after using a Ice attack","15","-","-","50213"
"Dragoon Double","Dualcasts Dragoon abilities consuming an extra ability use","15","-","-","50214"
"Thief Double","Dualcasts Thief abilities consuming an extra ability use","15","-","-","50215"
"Knight Double","Dualcasts Knight abilities consuming an extra ability use","15","-","-","50216"
"Samurai Double","Dualcasts Samurai abilities consuming an extra ability use","15","-","-","50217"
"Ninja Double","Dualcasts Ninja abilities consuming an extra ability use","15","-","-","50218"
"Bard Double","Dualcasts Bard abilities consuming an extra ability use","15","-","-","50219"
"Dancer Double","Dualcasts Dancer abilities consuming an extra ability use","15","-","-","50220"
"Darkness Double","Dualcasts Darkness abilities consuming an extra ability use","15","-","-","50221"
"Sharpshooter Double","Dualcasts Sharpshooter abilities consuming an extra ability use","15","-","-","50222"
"Heavy Double","Dualcasts Heavy abilities consuming an extra ability use","15","-","-","50223"
"Attach Earth Stacking","Allow to stack Attach Earth, up to Attach Earth 3","25","-","-","50224"
"Attach Poison Stacking","Allow to stack Attach Poison, up to Attach Poison 3","25","-","-","50227"
"Support Rank Boost","Support abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50229"
"Celerity Rank Boost","Celerity abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50230"
"Dragoon Rank Boost","Dragoon abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50231"
"Bard Rank Boost","Bard abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50237"
"Dancer Rank Boost","Dancer abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50238"
"Sharpshooter Rank Boost","Sharpshooter abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50241"
"Witch Rank Boost","Witch abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5","15","-","-","50242"
"Water High Quick Cycle","Grants [High Quick Cast 1] after using a Water attack","15","-","-","50247"
"Holy High Quick Cycle","Grants [High Quick Cast 1] after using a Holy attack","15","-","-","50248"
"Dark High Quick Cycle","Grants [High Quick Cast 1] after using a Dark attack","15","-","-","50249"
"Poison High Quick Cycle","Grants [High Quick Cast 1] after using a Poison attack","15","-","-","50250"
"Black Magic Quick Cycle","Grants [Quick Cast 1] after using a Black Magic ability","15","-","-","50251"
"White Magic Quick Cycle","Grants [Quick Cast 1] after using a White Magic ability","15","-","-","50252"
"Summoning Quick Cycle","Grants [Quick Cast 1] after using a Summoning ability","15","-","-","50253"
"Spellblade Quick Cycle","Grants [Quick Cast 1] after using a Spellblade ability","15","-","-","50254"
"Combat Quick Cycle","Grants [Quick Cast 1] after using a Combat ability","15","-","-","50255"
"Support Quick Cycle","Grants [Quick Cast 1] after using a Support ability","15","-","-","50256"
"Celerity Quick Cycle","Grants [Quick Cast 1] after using a Celerity ability","15","-","-","50257"
"Dragoon Quick Cycle","Grants [Quick Cast 1] after using a Dragoon ability","15","-","Dragoon Quick Cycle: Wind","50258"
"Monk Quick Cycle","Grants [Quick Cast 1] after using a Monk ability","15","-","Monk Quick Cycle: Non-Elemental","50259"
"Thief Quick Cycle","Grants [Quick Cast 1] after using a Thief ability","15","-","-","50260"
"Knight Quick Cycle","Grants [Quick Cast 1] after using a Knight ability","15","-","-","50261"
"Samurai Quick Cycle","Grants [Quick Cast 1] after using a Samurai ability","15","-","-","50262"
"Ninja Quick Cycle","Grants [Quick Cast 1] after using a Ninja ability","15","-","-","50263"
"Bard Quick Cycle","Grants [Quick Cast 1] after using a Bard ability","15","-","-","50264"
"Dancer Quick Cycle","Grants [Quick Cast 1] after using a Dancer ability","15","-","-","50265"
"Machinist Quick Cycle","Grants [Quick Cast 1] after using a Machinist ability","15","-","All other ""Machinist Quick Cycle"" status","50266"
"Sharpshooter Quick Cycle","Grants [Quick Cast 1] after using a Sharpshooter ability","15","-","-","50267"
"Heavy Quick Cycle","Grants [Quick Cast 1] after using a Heavy ability","15","-","-","50268"
"Summoning Double","Dualcasts Summoning abilities consuming an extra ability use","15","-","-","50270"
"Combat Double","Dualcasts Combat abilities consuming an extra ability use","15","-","-","50271"
"Support Double","Dualcasts Support abilities consuming an extra ability use","15","-","-","50272"
"Celerity Double","Dualcasts Celerity abilities consuming an extra ability use","15","-","-","50273"
"Judge's Apocrypha","Grants [Judge's Critical Chance 60%]/[Judge's Critical Chance 70%]/[Judge's Critical Chance 80%]/[Judge's Critical Chance 90%]/[Judge's Critical Chance 100%] to all allies for 15 seconds after using 1/2/3/4/5+ Support abilities","15","-","-","50274"
"Judge's Critical Chance 60%","Critical chance =60%","15","-","All other ""Judge's Critical Chance"" status","50275"
"Judge's Critical Chance 70%","Critical chance =70%","15","-","All other ""Judge's Critical Chance"" status","50276"
"Judge's Critical Chance 80%","Critical chance =80%","15","-","All other ""Judge's Critical Chance"" status","50277"
"Judge's Critical Chance 90%","Critical chance =90%","15","-","All other ""Judge's Critical Chance"" status","50278"
"Judge's Critical Chance 100%","Critical chance =100%","15","-","All other ""Judge's Critical Chance"" status","50279"
"Fury Follow-Up","Casts Fury Follow-Up after using a Ice or Water attack","15","-","-","50280"
"Draw & Triple J Counter","Keeps track of the uses of Draw & Triple J, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-","50281"
"EX: Heart of the Lion","Casts Renzokuken Fire Fang after using a Spellblade ability","15","-","-","50282"
"Lionheart 1","Critical chance =30%, cast speed x2.00, grants [Lionheart 2] after using a Spellblade ability, removed if the user hasn't EX: Heart of the Lion","15","-","All other ""Lionheart"" status","50283"
"Lionheart 2","Critical chance =50%, cast speed x2.50, grants [Lionheart 3] after using a Spellblade ability, removed if the user hasn't EX: Heart of the Lion","15","-","All other ""Lionheart"" status","50284"
"Lionheart 3","Critical chance =75%, cast speed x3.00, grants [Lionheart 3] after using a Spellblade ability, removed if the user hasn't EX: Heart of the Lion","15","-","All other ""Lionheart"" status","50285"
"Wind Drain","Restores HP for 10% of the damage dealt with Wind attacks","15","-","-","50286"
"Gale Spear Follow-Up","Casts Gale Spear after using a Wind attack","15","-","-","50287"
"Explosive Rush Mode 1","Casts Skydance Firestorm after using a Fire attack","15","-","Explosive Rush Mode 2, Explosive Rush Mode 3","50288"
"Explosive Rush Mode 2","Casts Skydance Firestorm after using a Fire attack","15","-","Explosive Rush Mode 1, Explosive Rush Mode 3","50289"
"Explosive Rush Mode 3","Casts Skydance Firestorm after using a Fire attack","15","-","Explosive Rush Mode 1, Explosive Rush Mode 2","50290"
"EX: Crimson Flash","ATK +30%, cast speed x3.00 for Samurai abilities, dualcasts Samurai abilities, removed if the user doesn't have any Stoneskin","-","-","-","50291"
"Top Card","Casts Force (Type-0)/Charge (Type-0)/Burst (Type-0) after using 1/2/3 Black Magic abilities, removed after using 3 Black Magic abilities","15","-","-","50292"
"Oil Pellet Follow-Up","Casts Oil Pellet after using two Machinist abilities","15","-","-","50293"
"Cure Step Follow-Up","Casts Cure Step after using a Dancer ability","15","-","-","50294"
"Doom: 5","Causes Doom with a 5 seconds timer","-","-","-","50295"
"Doom: 10","Causes Doom with a 10 seconds timer","-","-","-","50296"
"Doom: 15","Causes Doom with a 15 seconds timer","-","-","-","50297"
"Doom: 20","Causes Doom with a 20 seconds timer","-","-","-","50298"
"Doom: 25","Causes Doom with a 25 seconds timer","-","-","-","50299"
"Double Junction","Spellblade abilities deal 30/35/40/45/50/55/60/65/70% more damage after using 0/1/2/3/4/5/6/7/8 Fire or Ice Spellblade abilities","15","-","-","50300"
"Astral World","Grants [Quick Cast 1] to all allies in the character's row after using a Ice attack","15","-","-","50301"
"Hero-King Blade Follow-Up","Casts Hero-King Blade after exploiting elemental weakness","15","-","-","50303"
"Whirling Edge Follow-Up","Casts Whirling Edge after using a Celerity or Dancer ability","15","-","-","50304"
"Extreme Guard","Restores 1500 HP to all allies in the front row after using a Knight ability","15","-","-","50305"
"Ladle of Love Mode","Cast speed x2.00, casts Ladle Lash after dealing a critical hit","15","-","-","50306"
"Old Man's Hammer Follow-Up","Casts Old Man's Hammer after using a Lightning attack","15","-","-","50307"
"Desperate Meteor Mode","Dualcasts Black Magic abilities, casts Legendary Magic when removed","15","-","-","50311"
"Lionheart 0","Grants [Lionheart 1] after using a Spellblade ability, removed if the user hasn't EX: Heart of the Lion","15","-","All other ""Lionheart"" status","50312"
"Wind Fang Follow-Up","Casts Wind Fang after using a Dragoon ability","15","-","-","50313"
"Wind Fang Counter","Keeps track of the uses of Wind Fang, removed if the user hasn't Wind Fang Follow-Up, reset upon refreshing Wind Fang Follow-Up","-","-","-","50314"
