"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Bartz","Flaming Bond","Firaga Barrage","1","Fire","PHY","Single enemy","Physical","5.70","Fire, NE","1.65","Six single attacks (0.83/0.86/0.89/0.92/0.95 each) scaling with activations, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Spellblade","ファイガ剣みだれうち","31541145","100"
"Bartz","Flaming Bond","Pyroblade Strike","2","Fire","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Spellblade","炎剣の一撃","31541146","100"
"Lenna","White Magic Mastery","Wind Drake's Teachings","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","White Magic","飛竜の福音","30542467","2"
"Lenna","White Magic Mastery","Princess's Charity","2","White Magic, Dancer","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","王女の博愛","30542468","1002"
"Lenna","Benevolent Princess","Immortal Drake","1","White Magic, Dancer","WHT","Single enemy","Magical","9.30","Fire, NE","1.65","Three single attacks (3.10 each), restores HP (17.5/20/25) if 0-1/2-3/4+ allies have any Attach Fire","Y","Lowest HP% enemy","70","White Magic","不死なる飛竜","31541506","1002"
"Lenna","Benevolent Princess","Tenets of Devotion","2","White Magic, Dancer","WHT","Single ally","","","","0.01","Restores HP (55), grants [Resist Ice 10% (5s)]","N","Lowest HP% ally","70","White Magic","深愛なる福音","31541507","1002"
"Krile","Baldesion Attack","Raging Magma","1","Fire, Earth","BLK","Single enemy","Magical","19.20","Fire, Earth, NE","1.65","Six single attacks (2.90/3.05/3.20 each) scaling with activations","Y","Lowest HP% enemy","90","Black Magic","れっかのまぐま","30541914","2001"
"Krile","Baldesion Attack","Blazing Magma","2","Fire, Earth","BLK","Single enemy","Magical","18.30","Fire, Earth, NE","1.65","3/6 single attacks (3.05 each) if Galuf is not alive/alive, grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Black Magic","ぐれんのまぐま","30541915","2001"
"Krile","Inspiring Heart","Blazing Earth","1","Fire, Earth","BLK","Single enemy","Magical","18.30","Fire, Earth, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","かえんのだいち","31541503","2001"
"Krile","Inspiring Heart","Hellish Rage","2","Fire, Earth","BLK","Single enemy","Magical","2.70","Fire, Earth, NE","0.01","One single attack (2.70), grants [Quick Cast 3] to the user, grants [Fire/Earth Ability +30% Boost 3] and [Damage Cap +20000 3] to the user if the user has Beast Whisperer level 1, causes Beast Whisperer -1 to the user","Y","Lowest HP% enemy","60","Black Magic","じごくのいかり","31541504","2001"
"Faris","Precious Friend","Wind Assault","1","Wind","PHY","Single enemy","Physical","4.80","Wind, NE","0.83","Six single ranged attacks (0.80 each), causes [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","70","Thief","ウィンドアサルト","31540245","104"
"Faris","Precious Friend","Flame Assault","2","Fire","PHY","Single enemy","Physical","4.80","Fire, NE","0.83","Six single ranged attacks (0.80 each), causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","70","Thief","フレイムアサルト","31540246","100"
"Faris","Pirate Slash","Heat Cyclone","1","Wind, Fire","PHY","Single enemy","Physical","5.10","Wind, Fire, NE","1.20","Six single ranged attacks (0.75/0.80/0.85 each) scaling with uses, grants [Fire/Wind Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Thief","ヒートサイクロン","31542338","2023"
"Faris","Pirate Slash","Heat Phantom","2","Wind, Fire","PHY","Single enemy","Physical","5.40","Wind, Fire, NE","0.83","One single ranged attack (5.40) capped at 99999","Y","Lowest HP% enemy","70","Thief","ヒートファントム","31542339","2023"
"Galuf","Soul Successor","Dawn Strike","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","暁の拳打","31540365","103"
"Galuf","Soul Successor","Dawn Catalyst","2","Earth","NAT","Self","","","","1.65","Grants [Instant Cast 2]/[Critical Damage +50% 2]/[100% Critical] to the user/all allies/all allies at Memories level 0/1/2, removes Memories from the user","N","Self","100","Support","暁の使命感","31540366","103"
"Galuf","Dawn Unity","Indomitable Strike","1","Earth","PHY","Single enemy","Physical","5.70","Earth, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with activations, 25%/50%/75%/100% additional critical chance scaling with activations","Y","Lowest HP% enemy","90","Monk","不屈の連拳","31540934","103"
"Galuf","Dawn Unity","Immortal Strike","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Earth Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Monk","不滅の連拳","31540935","103"
"Gilgamesh","Future Ally","Blade Barrage","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), grants [Samurai +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Samurai","刀剣乱打","31540368","100"
"Gilgamesh","Future Ally","Excalipoor Barrage","2","Fire","PHY","Single enemy","Physical","5.48","Fire, NE","0.01","Three single attacks (0.90 each) if the user has Blade Collection 0, twenty single attacks (0.01 each), 100% hit rate, followed by one single attack (5.28) capped at 99999 if the user has Blade Collection 1+, causes Blade Collection -1","Y","Lowest HP% enemy","60","Samurai","エクスカリパー乱打","31540369","100"
"Gilgamesh","Together We Stand","Captain's Cross","1","Fire","PHY","Single enemy","Physical","3.60","Fire, NE","1.65","4/6/8 hits (0.90 each) scaling with activations, grants [High Retaliate] to the user","Y","Lowest HP% enemy","90","Samurai","親衛隊長十文字斬り","31542812","100"
"Gilgamesh","Together We Stand","Blademaster's Bravery","2","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [Fire Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Samurai","剣豪の魂","31542813","100"
"Gogo (V)","Submarine Whirlpool","Counter Spell: Water","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each), causes [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","魔法のおかえし・水","31540874","105"
"Gogo (V)","Submarine Whirlpool","Sunken Master","2","Black Magic, Bard","BLK","Single enemy","Magical","2.70","Water, NE","0.01","One single attack (2.70), grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","60","Black Magic","海底の名人芸","31540875","1013"
"Dorgann","Resolute Flashing Blade","Sundering Blade","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","我流剣技・大地斬","31541062","103"
"Dorgann","Resolute Flashing Blade","Devoted Swordmaster","2","Earth","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Earth Ability +30% Boost 3]","N","Self","70","Knight","一介の剣士の実力","31541063","103"
"Xezat","Spellskill Frostbreaker","Permafrost Thunder","1","Spellblade","PHY","Single enemy","Physical","5.40","Earth, Ice, Lightning, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Spellblade","大地凍てつく轟雷","31541059","4"
"Xezat","Spellskill Frostbreaker","Quivering Thunderblade","2","Spellblade","PHY","Single enemy","Physical","6.00","Earth, Ice, Lightning, NE","1.65","One single attack (6.00) capped at 99999, grants [Buff Ice 10% (15s)], [Buff Earth 10% (15s)] and [Buff Lightning 10% (15s)] to the user every second activation","Y","Lowest HP% enemy","90","Spellblade","震える雷刃","31541060","4"
"Kelger","Ferocious Alpha","Lupine Rush","1","Ninja","PHY","Single enemy","Physical","4.80","Earth, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Ninja","ルパインラッシュ","31541056","13"
"Kelger","Ferocious Alpha","Lupine Ambush","2","Ninja","PHY","Single enemy","Physical","2.40","Earth, NE","0.83","Three single attacks (0.80 each), grants [Ninja +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Ninja","ルパインアンブッシュ","31541057","13"
"Terra","Inferno Cross","Burning Combo","1","Fire","BLK","Single enemy","Magical","15.25","Fire, NE","1.65","Five single attacks (3.05 each), grants [Buff Fire 10% (15s)] and [Fire +30% Boost 1]","Y","Lowest HP% enemy","90","Black Magic","バーニングコンボ","30541553","100"
"Terra","Inferno Cross","Esper Flamestrike","2","Fire","SUM","All enemies","Magical","13.80","Fire, NE","1.65","One group attack (13.80) capped at 99999","N","All enemies","90","Summoning","幻獣の炎撃","30543070","100"
"Terra","Riot Storm","Stream Combo","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","ストリームコンボ","30541652","104"
"Terra","Riot Storm","Ominous Wind","2","Wind","NAT","Self","","","","1.65","Grants [Triplecast Wind 1]","N","Self","100","Black Magic","風兆","30541653","104"
"Terra","Inferno Storm","Riot Wave","1","Fire, Wind","BLK","Single enemy","Magical","18.30","Fire, Wind, NE","1.65","Six single attacks (3.05 each), grants [Fire/Wind Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","ライオットウェイヴ","31541605","2018"
"Terra","Inferno Storm","Chaos Sword","2","Fire, Wind","BLK","Single enemy","Magical","8.10","Fire, Wind, NE","0.01","Three single attacks (2.70 each), grants [Terra Trance] to the user","Y","Lowest HP% enemy","90","Black Magic","ケイオスソード","31541606","2018"
"Locke","Phoenix Heat","Hunter's Grit","1","Fire","PHY","Single enemy","Physical","5.70","Fire, NE","1.20","Six single attacks (0.85/0.90/0.95 each) scaling with Hunter's Edge activations","Y","Lowest HP% enemy","90","Thief","ハンター・ブレイブ","30548434","100"
"Locke","Phoenix Heat","Hunter's Edge","2","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.20","Three single attacks (0.90 each), [ATK and DEF -50% (8s)] after 1+2n activations, causes [Imperil Fire 10% (15s)] after 2+2n activations","Y","Lowest HP% enemy","90","Thief","ハンター・エッジ","30548435","100"
"Locke","Shredding Spin","Crimson Dagger","1","Fire","PHY","Single enemy","Physical","4.80","Fire, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Thief","クリムゾンダガー","31540987","100"
"Locke","Shredding Spin","Burn Up","2","Thief","PHY","Single enemy","Physical","2.40","Fire, NE","0.83","Three single attacks (0.80 each), causes [Imperil Fire 10% (15s)] every second activation, grants [Buff Fire 10% (15s)] to the user every second activation","Y","Lowest HP% enemy","70","Thief","バーニングアップ","31540988","10"
"Celes","Mystical Snow","Achromatic Blade","1","Ice","PHY","Single enemy","Physical","5.58","Ice, NE","1.65","Six single attacks (0.87/0.93 each) if user has Magical Blink 0/1+","Y","Lowest HP% enemy","90","Spellblade","純白の奇跡の剣","30547323","101"
"Celes","Mystical Snow","Azure Arc Blade","2","Ice","PHY","Single enemy","Physical","2.70","Ice, NE","1.65","Three single attacks (0.90 each), grants [Spellblade +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Spellblade","紺碧の軌跡の剣","30547324","101"
"Celes","Proud Blade","Spellblade Divinity","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), grants [Spellblade +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Spellblade","聖なる魔導の剣","31540721","106"
"Celes","Proud Blade","Spellblade Tranquility","2","Holy","PHY","Single enemy","Physical","6.00","Holy, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Spellblade","静なる魔導の剣","31540722","106"
"Celes","Virtuous Blade","Chilling Crusade","1","Ice, Holy","PHY","Single enemy","Physical","5.40","Ice, Holy, NE","1.65","Six single attacks (0.90 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Spellblade","冷厳なる聖戦の剣","31541122","2016"
"Celes","Virtuous Blade","Solemn Campaign","2","Ice, Holy","PHY","Single enemy","Physical","6.00","Ice, Holy, NE","1.65","One single attack (6.00) capped at 99999, cast time 0.825 if the user has any Magical Blink, grants [Magical Blink 1] to all allies if the user has Frozen Holy Sword level 1, causes Frozen Holy Sword -1 to the user","Y","Lowest HP% enemy","90","Spellblade","神厳なる征戦の剣","31541123","2016"
"Shadow","Devastating Carnage","Carnage Cutter","1","Dark","PHY","Single enemy","Physical","6.40","Dark, NE","0.83","1/4/8 single ranged/single/single attacks (0.80 each) if the user Physical Blink 0/1/2, grants [Physical Blink 1]/[Physical Blink 1] if the user has Physical Blink 0/1, 100% hit rate at Physical Blink 0","Y","Lowest HP% enemy","70","Ninja","修羅の刃","30549323","107"
"Shadow","Devastating Carnage","Murderous Urge","2","Dark","PHY","Single enemy","Physical","2.40","Dark, NE","0.83","Three single attacks (0.80 each), grants [Ninja +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Ninja","黒き殺意","30549324","107"
"Relm","Galaxy Prism","Draw Potion","1","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","ドロウ・ポーション","31540259","2"
"Relm","Galaxy Prism","Draw Friend","2","White Magic","NAT","All allies","","","","0.01","Grants [Physical Blink 1]","N","All allies","70","Support","ドロウ・フレンド","31540260","2"
"Kefka","Rising Tone","Liftoff","1","Dark, Poison","BLK","Single enemy","Magical","18.30","Dark, Poison, NE","1.65","Six single attacks (3.05 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","ケフカロケット","31540262","2005"
"Kefka","Rising Tone","Boom-Boom Ultima","2","Dark, Poison","BLK","Single enemy","Magical","16.40","Dark, Poison, NE","1.65","One single attack (16.40) capped at 99999, grants [Dark/Poison Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","どきどきアルテマ","31540263","2005"
"Mog","Snow Ensemble","Moogle Salsa","1","White Magic, Dancer","NAT","All enemies","","","","1.65","Causes [ATK and MAG -50% (8s)], restores 1500 HP to all allies","Y","All enemies","100","Dancer","モグサルサ","31540354","1002"
"Mog","Snow Ensemble","Moogle Samba","2","White Magic, Dancer","NAT","All allies","","","","1.65","Grants [Quick Cast 1]","Y","All allies","100","Dancer","モグサンバ","31540355","1002"
"Strago","Tsunami","Mighty Breath","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each), grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Black Magic","マイティブレス","31540454","105"
"Strago","Tsunami","Secret of Thamasa","2","Water","BLK","Single enemy","Magical","16.40","Water, NE","1.65","One single attack (16.40) capped at 99999, grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","サマサの秘技","31540455","105"
"Strago","Bubble Tornado","Tidal Wind","1","Wind, Water","BLK","Single enemy","Magical","18.30","Water, Wind, NE","1.65","Six single attacks (3.05 each), grants [Black Magic +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","タイダルウィンド","31540776","2015"
"Strago","Bubble Tornado","Eddy Blast","2","Wind, Water","BLK","Single enemy","Magical","16.40","Water, Wind, NE","1.65","One single attack (16.40) capped at 99999, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","エディブラスト","31540777","2015"
"Gau","X-Cutter Rage","Rugged Claws (Bestial Awakening 0)","1","Celerity, Combat","PHY","Single enemy","Physical","4.80","Wind, Lightning, NE","1.20","Six single attacks (0.80 each), grants Voracious Carnivore +1 to the user","Y","Lowest HP% enemy","70","Celerity","あらぶるかぎづめ","31540542","1010"
"Gau","X-Cutter Rage","Rugged Claws (Bestial Awakening 1)","1","Celerity, Combat","PHY","Single enemy","Physical","8.00","Wind, Lightning, NE","1.20","Ten single attacks (0.80 each), 100% additional critical chance, causes Bestial Awakening -1 to the user","Y","Lowest HP% enemy","70","Celerity","あらぶるかぎづめ","31540542","1010"
"Gau","X-Cutter Rage","Slaying Blow (Voracious Carnivore 0)","2","Celerity, Combat","PHY","Single enemy","Physical","5.40","Wind, Lightning, NE","1.20","One single attack (5.40) capped at 99999, grants Bestial Awakening +1 to the user","Y","Lowest HP% enemy","70","Celerity","とどめのいちげき","31540543","1010"
"Gau","X-Cutter Rage","Slaying Blow (Voracious Carnivore 1)","2","Celerity, Combat","PHY","Single enemy","Physical","5.40","Wind, Lightning, NE","1.20","One single attack (5.40) capped at 99999, grants [Instant Cast 1] to the user, causes Voracious Carnivore -1 to the user","Y","Lowest HP% enemy","70","Celerity","とどめのいちげき","31540543","1010"
"Gau","Rage Combo","Rampage","1","Celerity, Combat","PHY","Single enemy","Physical","5.40","Wind, Lightning, NE","1.20","Six single attacks (0.80 each), grants [Instant ATB 1] to the user if the user has Feral Awakening, causes Feral Awakening -1 to the user","Y","Lowest HP% enemy","70","Celerity","あばれまわる","31542850","1010"
"Gau","Rage Combo","Run Loose","2","Celerity, Combat","PHY","Single enemy","Physical","0.80","Wind, Lightning, NE","0.01","Grants [Instant Cast 3] to the user","Y","Lowest HP% enemy","60","Celerity","かけまわる","31542851","1010"
"Leo","Shattering Highblade","Rock Photon","1","Knight","PHY","Single enemy","Physical","5.40","Earth, Holy, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","ロックフォトン","31540538","11"
"Leo","Shattering Highblade","Indomitable Knight","2","Knight","PHY","Single enemy","Physical","0.90","Earth, Holy, NE","1.65","One single attack (0.90), grants [High Quick Cast 2] and [Knight +30% Boost 2] to the user","Y","Lowest HP% enemy","90","Knight","インドミタブルナイト","31540539","11"
"Edgar","Trinity Boost","Hexa Boost","1","Machinist","PHY","Single enemy","Physical","5.40","Poison, Fire, Lightning, NE","1.65","Six single ranged attacks (0.90 each), grants [Machinist +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Machinist","熱誠なる拳","31540649","16"
"Edgar","Trinity Boost","Royal Courage","2","Machinist","PHY","Single enemy","Physical","2.70","Poison, Fire, Lightning, NE","1.65","Three single ranged attacks (0.90 each), causes [Imperil Poison 10% (15s)], [Imperil Fire 10% (15s)] and [Imperil Lightning 10% (15s)] every second activation if Sabin and Relm are not alive, causes [Imperil Prismatic 10% (15s)] every second activation if Sabin or Relm are alive, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Machinist","幻影闘心","31540650","16"
"Edgar","Bio Boost","Enfeebling Poison+","1","Machinist, Support","PHY","Single enemy","Physical","5.40","Poison, NE","1.65","Six single ranged attacks (0.90 each), causes [Imperil Poison 10% (15s)]","Y","Lowest HP% enemy","90","Machinist","ウィークメイク改・毒","31541102","1016"
"Edgar","Bio Boost","Swift Drill","2","Machinist, Support","PHY","Single enemy","Physical","5.34","Poison, NE","0.83","One single ranged attack (5.34) capped at 99999, grants [Poison Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Machinist","スウィフトドリル","31541103","1016"
"Sabin","Fiery Bond","Solemn Fist","1","Monk","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), grants [Monk +30% Boost 1] and Pillar of Justice +1 to the user","Y","Lowest HP% enemy","90","Monk","熱誠なる拳","31540653","9"
"Sabin","Fiery Bond","Phantom Resolve","2","Fire","NAT","Self","","","","0.01","Grants [Quick Cast 2], [Physical Blink 1] and Pillar of Support +1","N","Self","70","Monk","幻影闘心","31540654","100"
"Sabin","Draconic Phantom Rush","Roar of the Dragon","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), has 25/50/75/100% additional critical chance, scaling with activations","Y","Lowest HP% enemy","90","Monk","竜唸拳","31542658","100"
"Sabin","Draconic Phantom Rush","Will of the Phoenix","2","Fire","NAT","Self","","","","1.65","Grants [Monk +30% Boost 1], [Dualcast Monk 1] to the user if user does not have Phoenix Stance, grants [Monk +30% Boost 1], [Dualcast Monk 1] to all allies if the user has Phoenix Stance, removes Phoenix Stance from the user","N","Self","100","Monk","鳳凰闘心","31542659","100"
"Gogo (VI)","True Punishing Meteor","Tetra Magic","1","Combat, Black Magic","NAT","Single enemy","Hybrid","-","Fire, Ice, Wind, Earth, NE","1.65","Six single hybrid attacks (0.90 or 3.05 each)","Y","Lowest HP% enemy","90","Black Magic","テトラマジック","31540657","1012"
"Gogo (VI)","True Punishing Meteor","Magical Fusion","2","Combat, Black Magic","NAT","Single enemy","Hybrid","-","Fire, Ice, Wind, Earth, NE","0.01","One single hybrid attack (0.80 or 2.70), grants [Quick Cast 2] to the user if the user has Mysterious Mimic level 0, grants [Fire/Ice/Wind/Earth Ability +30% Boost 2], [Damage Cap +10000 2] and [Impersonation Mode] to the user if the user has Mysterious Mimic level 1, causes Mysterious Mimic -1 to the user","Y","Lowest HP% enemy","60","Black Magic","マジカルフュージョン","31540658","1012"
"Umaro","Snowfall Strike","Insight","1","Ice","PHY","Single enemy","Physical","0.60","Ice, NE","1.65","One single attack (0.60) capped at 99999, grants Boss's Tip +1 to the user if the user has [Me Join You Mode], grants [Green Cherry Glutton Mode] every fifth activation","Y","Lowest HP% enemy","90","Monk","かんぱ","31541129","101"
"Umaro","Snowfall Strike","Big Avalanche","2","Ice","PHY","Single enemy","Physical","6.00","Ice, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Monk","おおなだれ","31541130","101"
"Cyan","Bushido Tiger","Doman Flamestrike","1","Samurai","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), grants [Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Samurai","ドマ流剣技・焔斬","31541269","12"
"Cyan","Bushido Tiger","Doman Ruin","2","Samurai","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999, grants [Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Samurai","ドマ流剣技・滅断","31541270","12"
"Setzer","Dealer Shuffle","Black Solitaire","1","Sharpshooter, Support","NAT","Single enemy","","","","1.65","Causes [Imperil Dark 10% (5s)], grant [Soul Break Gauge +180] to the user","N","Lowest HP% enemy","0","Support","ブラックソリテアー","31541265","1020"
"Setzer","Dealer Shuffle","Rigged Coin","2","Support","NAT","Single ally","","","","0.01","Transfers the user's Soul Break points to the target, grants [Instant Cast 1] to the same target","N","Random ally","70","Support","イカサマのコイン","31541266","6"
"Edge","Eblan Poisonous Cut","Eblan Infection","1","Poison","NAT","Single enemy","Hybrid","","Poison, NE","0.82","Six single hybrid attacks (0.80 or 411.75 each)","Y","Lowest HP% enemy","70","Ninja","エブラーナ流・毒刃","31543228","108"
"Edge","Eblan Poisonous Cut","Eblan Reflection","2","Ninja","NAT","Single enemy","Hybrid","","Poison, NE","0.01","One single hybrid attacks (0.80 or 408), grants [Quick Cast 2] and Smart Ether 2 to the user","Y","Lowest HP% enemy","60","Ninja","エブラーナ流・瞬刃","31543229","13"
"Ultros","Venomous Volley","Explosive Tentacle","1","Poison","NAT","Single enemy","Hybrid","","Poison, NE","1.65","4/6/8 single hybrid attacks (0.90 or 3.05 each) after 0/1/2+ uses","Y","Lowest HP% enemy","90","Black Magic","爆裂たこあし","31543234","108"
"Ultros","Venomous Volley","Shrug THIS Off!","2","Combat, Black Magic","NAT","Single enemy","Hybrid","","Poison, NE","1.65","Three single hybrid attacks (0.90 or 3.05 each), grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","90","Black Magic","オモリ落としたるけんね","31543235","1012"
"Cloud","Apex Slash","Sonic Rush+","1","Wind","PHY","Single enemy","Physical","5.40","Wind, NE","1.65","Six single attacks (0.90 each), grants [Wind Ability +50% Boost 1] and Mako Resonance level 1 to the user","Y","Lowest HP% enemy","90","Spellblade","ソニックラッシュ改","30547053","104"
"Cloud","Apex Slash","Slash Impact","2","Wind","PHY","Single enemy","Physical","8.00","Wind, NE","1.65","One single attack (6.00/8.00) if user has Mako Resonance level 0/1, capped at 99999, set Mako Resonance level to 0","Y","Lowest HP% enemy","90","Spellblade","スラッシュインパクト","30547054","104"
"Cloud","Meteor Rain","Hazardous Darkness","1","Dark","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each), grants [High Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Heavy","ダークネスハザード","30549398","107"
"Cloud","Meteor Rain","Climbing Charge","2","Dark","NAT","Self","","","","1.65","Grants [Heavy Charge +2], [100% Critical 1], [Critical Damage +50% 1] and [Damage Cap +80000 1]","N","Self","90","Heavy","クライムチャージ","30549399","107"
"Cloud","Mako Strike","Dragon Fang's Touch","1","Wind, Dark","PHY","Single enemy","Physical","6.30","Wind, Dark, NE","1.65","6/7 single attacks (0.90 each) if the user has Mako Infused level 0/1, grants [Quick Cast 1] to the user if the user has Mako Infused level 1, grants Mako Infused +1 to the user if the user has Mako Infused level 0, causes Mako Infused -1 to the user if the user has Mako Infused level 1","Y","Lowest HP% enemy","90","Combat","牙龍点睛","31541162","2004"
"Cloud","Mako Strike","Drake's Touch","2","Wind, Dark","PHY","Single enemy","Physical","6.40","Wind, Dark, NE","1.65","6/4 single attacks (0.90/1.60 each) if the user has Jenova Injection level 0/1, grants Jenova Injection +1 to the user if the user has Jenova Injection level 0, causes Jenova Injection -1 if the user has Jenova Injection level 1","Y","Lowest HP% enemy","90","Combat","我龍点睛","31541163","2004"
"Tifa","Zangan's Infinitude","Neo Falcon's Dive","1","Earth","PHY","Single enemy","Physical","5.70","Earth, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with activations, 25%/50%/75%/100% additional critical chance scaling with activations","Y","Lowest HP% enemy","90","Monk","ネオ・ファルコンダイブ","30548420","103"
"Tifa","Zangan's Infinitude","Elbow Crush","2","Monk","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Monk +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Monk","エルボークラッシュ","30548425","9"
"Tifa","Limit Combo","Grand Break","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","グランドブレイク","31540215","103"
"Tifa","Limit Combo","Charge Arts","2","Earth","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 2], grants [200% ATB 2] if user has Earth Limit Form level 1, causes Earth Limit Form -1","N","Self","70","Monk","チャージアーツ","31540216","103"
"Sephiroth","Demonic Lord","Hell's Might","1","Darkness","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Darkness","獄威","30544399","17"
"Sephiroth","Demonic Lord","Self-Oblivion","2","Darkness","NAT","Self","","","","0.01","Grants [100% Critical 1], [Critical Damage +50% 1] and [Damage Cap +80000 1]","N","Self","70","Darkness","忘我","30544400","17"
"Sephiroth","Crimson Octaslash","Flame Prison Blade","1","Fire","PHY","Single enemy","Physical","5.40","Fire, Dark, NE","1.65","Six single attacks (0.90 each), grants [Fire Ability +30% Boost 1] and [100% Critical 1] to the user","Y","Lowest HP% enemy","90","Samurai","焔獄刃","31541142","100"
"Sephiroth","Crimson Octaslash","Frenzied Flames","2","Fire","NAT","Self","","","","0.01","Grants [Quick Cast 3] if the user has Hatred for Mankind level 0, grants [Instant Cast 3] and [Buff Fire 30% (5s)] if the user has Hatred for Mankind level 1, causes Hatred for Mankind -1","N","Self","70","Samurai","狂焔","31541143","100"
"Sephiroth","Dark Carmine Blade","Hell Quake","1","Dark, Fire","PHY","Single enemy","Physical","5.40","Dark, Fire, NE","1.65","Six single attacks (0.90 each), grants [Dark/Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","獄震","31541842","2003"
