"Character","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID"
"Ursula","Five Star Crimson Palm","","Boulder Buster","PHY","Single enemy","Physical","1.88","Earth, Fire","0.83","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Monk","割岩連打","30512081"
"Ursula","Five Star Crimson Palm","","Explosive Barrage","PHY","Single enemy","Physical","1.08","Earth, Fire","1.65","Two single attacks (0.54 each), grants [50% Critical] to the user for 15 seconds","Y","Lowest HP% enemy","50","Monk","爆裂連撃","30512082"
"Barbariccia","Maelstrom (IV)","","Fast Winds","BLK","Single enemy","Magical","7.72","Wind, NE","1.65","Four single attacks (1.93 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","50","Black Magic","ファストウィンド","30512561"
"Barbariccia","Maelstrom (IV)","","Aero Drive","BLK","All enemies","Magical","6.18","Wind, NE","1.65","Two group attacks (3.09 each), grants [Magic Bargain] to the user for 20 seconds","Y","All enemies","50","Black Magic","エアロドライブ","30512562"
"Lenna","Phoenix of Tycoon","","Royal Judgment","WHT","Single enemy","Magical","10.52","Holy","1.65","Four single attacks (2.63 each), [MND +15%] to the user for 25 seconds","Y","Lowest HP% enemy","50","White Magic","聖女の審判","30510661"
"Lenna","Phoenix of Tycoon","","Tycoon's Gift","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","タイクーンの福音","30510662"
"Lenna","Tender Mercy","","Tycoon's Mark","WHT","Single ally","Magical","3.00","Holy","0.01","Restores HP (80), [MND +30%] for 25 seconds, damages undeads","Y","Lowest HP% ally","50","White Magic","タイクーンの印","30512151"
"Lenna","Tender Mercy","","Care for Life","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","生命へのいたわり","30512152"
"Galuf","Sweet Sorrow","","Leeching Blow","PHY","Single enemy","Physical","1.88","Fire, Earth","1.65","Four single attacks (0.47 each), restores HP to the lowest HP% ally for 25% of their maximum HP","Y","Lowest HP% enemy","50","Monk","吸命の拳打","30510641"
"Galuf","Sweet Sorrow","","Feast of Souls","PHY","All enemies","Physical","1.34","Fire, Earth","1.65","Two group attacks (0.67 each), restores HP to the lowest HP% ally for 30% of their maximum HP","Y","All enemies","50","Monk","救魂の蹴撃","30510642"
"Galuf","Renewed Vigor","","Shattering Fist","PHY","Single enemy","Physical","2.16","Earth, Fire","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Monk","砕く豪拳","30512411"
"Galuf","Renewed Vigor","","Restless Spirit","PHY","Single enemy","Physical","1.08","Earth, Fire","1.65","Two single attacks (0.54 each), grants [50% Critical] to the user for 15 seconds","Y","Lowest HP% enemy","50","Monk","昂る英魂","30512412"
"Gogo (V)","Deep Aqua Breath","","Way of the Mimic","NAT","-","","","","1.65","Casts the last ability used by any ally, default ability (PHY: single, 1.50 physical), cast time -0.15 for each previous use","N","-","180","Special","ものまね道","30511431"
"Gogo (V)","Deep Aqua Breath","","Infamous Waterworks","BLK","Single enemy","Magical","8.96","Water, NE","1.65","Four single attacks (2.24 each)","Y","Lowest HP% enemy","50","Black Magic","名人たしなみ・水芸","30511432"
"Gilgamesh","Gilgamesh Morphing Time","","Dual Thrust","PHY","Single enemy","Physical","2.60","NE","1.65","Two single attacks (1.30 each), removes positive effects","Y","Lowest HP% enemy","50","Samurai","双突き","30510251"
"Gilgamesh","Gilgamesh Morphing Time","","Tsubamegaeshi","PHY","Single enemy","Physical","2.60","NE","1.65","Two single attacks (1.30 each), grants [Retaliate] to the user for 15 seconds","Y","Lowest HP% enemy","50","Samurai","ツバメ返し","30510252"
"Gilgamesh","Gilgamesh Scorching Time","","Kindred Soul","NAT","Self","","","","1.65","Grants [Retaliate] and [Countrymen]","Y","Self","50","Samurai","親友（とも）の魂","30512531"
"Gilgamesh","Gilgamesh Scorching Time","","Kindred Soul (S)","NAT","Self","","","","1.65","Grants [Instant Cast 3], removes [Countrymen]","Y","Self","50","Samurai","親友（とも）の魂","30512531"
"Gilgamesh","Gilgamesh Scorching Time","","Cross Slash","PHY","Single enemy","Physical","2.08","Fire, NE","1.65","Four single attacks (0.52 each)","Y","Lowest HP% enemy","50","Samurai","十文字斬り","30512532"
"Gilgamesh","Gilgamesh Scorching Time","","Cross Slash (S)","PHY","Single enemy","Physical","2.60","Fire, Wind","1.65","Five single attacks (0.52 each)","Y","Lowest HP% enemy","50","Samurai","十文字斬り","30512532"
"Bartz","Light of the Four","","Flurry Storm","PHY","Single enemy","Physical","2.52","Wind, Water","1.65","Four single attacks (0.63 each)","Y","Lowest HP% enemy","50","Spellblade","魔法剣みだれうち 嵐","30510061"
"Bartz","Light of the Four","","Flurry Blast","PHY","Single enemy","Physical","2.52","Fire, Earth","1.65","Four single attacks (0.63 each)","Y","Lowest HP% enemy","50","Spellblade","魔法剣みだれうち 爆","30510062"
"Bartz","Woken Water","","Smash Dive","PHY","Single enemy","Physical","2.00","NE","1.20","One single attack (2.00), [ATK -40%] for 20 seconds, [ATK +50%] to the user for 20 seconds","Y","Random enemy without status","50","Thief","スマッシュダイブ","30511441"
"Bartz","Woken Water","","Spellblade Torrent","PHY","Single enemy","Physical","2.16","Water, NE","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Spellblade","魔法剣みだれうち 流","30511442"
"Bartz","Latent Power","","Sundering Spellblade","PHY","Single enemy","Physical","1.88","Earth, Wind","1.65","Four single attacks (0.47 each), grants [Spellblade +15% Boost 2] to the user","Y","Lowest HP% enemy","50","Spellblade","魔法剣みだれうち 砕","30511841"
"Bartz","Latent Power","","Whirling Sands","PHY","Single enemy","Physical","1.41","Earth, Wind","1.65","Three single attacks (0.47 each), grants [Meikyo Shisui] to the user for 20 seconds","Y","Lowest HP% enemy","50","Spellblade","直伝剣技・砂塵","30511842"
"Bartz","Call of the Wind","","Gloomy Spellblade","PHY","Single enemy","Physical","2.16","Wind, NE","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Spellblade","魔法剣みだれうち 颯","30512371"
"Bartz","Call of the Wind","","Whirling Tornado","PHY","Single enemy","Physical","1.68","Wind, NE","1.65","Three single attacks (0.56 each), grants [Spellblade +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Spellblade","直伝剣技・竜巻","30512372"
"Bartz","Call of the Flame","","Spellblade Blaze","PHY","Single enemy","Physical","2.16","Fire, NE","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Spellblade","魔法剣みだれうち 焔","30512421"
"Bartz","Call of the Flame","","Crimson Instinct","PHY","Single enemy","Physical","1.68","Fire, NE","1.65","Three single attacks (0.56 each), grants [Spellblade +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Spellblade","直伝剣技・紅蓮","30512422"
"Faris","Beryl Serpent","","Deluge","PHY","Single enemy","Physical","2.30","NE","1.65","One single ranged attack (2.30), [MAG -50%] for 15 seconds","Y","Random enemy","60","Support","激流","30510121"
"Faris","Beryl Serpent","","Rough Tides","PHY","Single enemy","Physical","2.30","NE","1.65","One single ranged attack (2.30), [ATK -40%] for 15 seconds","Y","Random enemy","60","Support","荒潮","30510122"
"Faris","Landlubber Lambast","","Pirate Bomb","PHY","Single enemy","Physical","2.20","Wind, Fire","1.65","Two single ranged attacks (1.10 each), [ATK -40%] for 15 seconds","Y","Random enemy without status","50","Support","パイレーツボム","30512631"
"Faris","Landlubber Lambast","","Pirate Cannon","PHY","Single enemy","Physical","2.20","Wind, Fire","1.65","Two single ranged attacks (1.10 each), [DEF -40%] for 15 seconds","Y","Random enemy without status","50","Support","パイレーツキャノン","30512632"
"Dorgann","Uncharted Lands","","Protector's Vow","PHY","Single enemy","Physical","1.96","Earth, Wind","1.65","Four single attacks (0.49 each), grants [Knight +15% Boost 2] to the user","Y","Lowest HP% enemy","50","Knight","守護者の覚悟","30511831"
"Dorgann","Uncharted Lands","","Blades of Sand","PHY","Single enemy","Physical","1.41","Earth, Wind","1.65","Three single attacks (0.47 each), grants [Meikyo Shisui] to the user for 20 seconds","Y","Lowest HP% enemy","50","Knight","我流剣技・砂塵","30511832"
"Exdeath","Neo Black Hole","","Black Ray","BLK","Single enemy","Magical","8.16","Dark, NE","1.65","Four single attacks (2.04 each), 2.86 multiplier if the user has any Doom","Y","Lowest HP% enemy","50","Black Magic","ブラックレイ","30511451"
"Exdeath","Neo Black Hole","","Black Storm","BLK","All enemies","Magical","6.30","Dark, NE","1.65","One group attack (6.30), causes [Doom: 45] to the user, [MAG +30%] to the user for 50 seconds","Y","All enemies","60","Black Magic","ブラックストーム","30511452"
"Krile","Tomorrow's Promise","","Ignus Fatuus","BLK","Single enemy","Magical","8.68","Fire, NE","1.65","Four single attacks (2.17 each), causes [Stun] (9%)","Y","Lowest HP% enemy","50","Black Magic","おにび","30510651"
"Krile","Tomorrow's Promise","","Eruption","BLK","All enemies","Magical","6.08","Fire, NE","1.65","Two group attacks (3.04 each), causes [Slow] (16%)","Y","All enemies","50","Black Magic","だいふんか","30510652"
"Krile","Brimstone","","Consuming Flame","BLK","Single enemy","Magical","8.00","Fire, NE","0.83","Four single attacks (2.00 each)","Y","Lowest HP% enemy","50","Black Magic","れっか","30512641"
"Krile","Brimstone","","Blood Bloom","BLK","All enemies","Magical","6.18","Fire, NE","1.65","Two group attacks (3.09 each), grants [Magic Bargain] to the user for 20 seconds","Y","All enemies","50","Black Magic","ぐれん","30512642"
"Xezat","Spellstorm Frostclash","","Roaring Frostblade","PHY","Single enemy","Physical","1.68","Ice, Lightning","1.65","Three single ranged attacks (0.56 each), grants [Spellblade +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Spellblade","轟く凍刃","30512391"
"Xezat","Spellstorm Frostclash","","Chilling Stormfront","PHY","All enemies","Physical","1.30","Ice, Lightning","1.65","Two group ranged attacks (0.65 each), grants [Dark Bargain] to the user for 20 seconds","Y","Lowest HP% enemy","50","Spellblade","凍てつく雷陣","30512392"
"Kelger","Sonic Swiftness","","Lupine Claw","PHY","Single enemy","Physical","1.88","Earth, Wind","0.83","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Ninja","ルパインクロー","30512401"
"Kelger","Sonic Swiftness","","Lupine Evasion","PHY","Single enemy","Physical","1.50","Earth, Wind","0.83","Two single attacks (0.75 each), grants [Physical Blink 1] to the user","Y","Lowest HP% enemy","50","Ninja","ルパインフットワーク","30512402"
"Terra","Blood of Espers","","Chaos Fira","BLK","Single enemy","Magical","10.48","Fire, NE","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","ケイオスファイラ","30510081"
"Terra","Blood of Espers","","Chaos Watera","BLK","Single enemy","Magical","10.48","Water, NE","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","ケイオスウォタラ","30510082"
"Terra","Finding Love","","Fire Combo","BLK","Single enemy","Magical","8.00","Fire, NE","1.65","Four single attacks (2.00 each), 2.49 multiplier if exploiting elemental weakness","Y","Lowest HP% enemy","50","Black Magic","ファイアコンボ","30512231"
"Terra","Finding Love","","Fire Wave","BLK","All enemies","Magical","6.18","Fire, NE","1.65","Two group attacks (3.09 each), grants [Magic Bargain] to the user for 20 seconds","Y","All enemies","50","Black Magic","ファイアウェイブ","30512232"
"Locke","Mirage Phoenix","","Mug Weapon","PHY","Single enemy","Physical","2.00","NE","1.20","One single attack (2.00), [ATK and MAG -20%] for 20 seconds, [ATK and MAG +20%] to the user for 20 seconds","Y","Random enemy","50","Thief","武器をぶんどる","30510221"
"Locke","Mirage Phoenix","","Phoenix Buffet","PHY","Single enemy","Physical","2.16","Fire, Holy","1.20","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Thief","不死鳥の翼撃","30510222"
"Locke","On the Hunt","","Brave the Heat","PHY","Single enemy","Physical","1.88","Fire, NE","0.83","Four single ranged attacks (0.47 each)","Y","Lowest HP% enemy","50","Thief","ヒート・ブレイブ","30512221"
"Locke","On the Hunt","","Searing Edge","PHY","Single enemy","Physical","1.72","Fire, NE","1.20","Two single ranged attacks (0.86 each), [ATK -50%] for 20 seconds, [ATK +50%] to the user for 20 seconds","Y","Random enemy without status","50","Thief","ヒート・エッジ","30512222"
"Celes","Maria's Song","","Ardent Blade","PHY","Single enemy","Physical","2.16","Holy, Fire","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Spellblade","愛と情熱の剣","30510261"
"Celes","Maria's Song","","Frigid Blade","PHY","Single enemy","Physical","2.16","Holy, Ice","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Spellblade","哀と静寂の剣","30510262"
"Celes","Invincible Blade","","Gleaming Frostblade","PHY","Single enemy","Physical","2.32","Holy, Ice","1.65","Four single attacks (0.58 each), grants [Spellblade +15% Boost 2] to the user","Y","Lowest HP% enemy","50","Spellblade","鮮麗なる決別の剣","30511541"
"Celes","Invincible Blade","","Dazzling Grimblade","PHY","All enemies","Physical","1.40","Holy, Ice","1.65","Two group attacks (0.70 each), grants [Dark Bargain] to the user for 20 seconds","Y","All enemies","50","Spellblade","絢爛なる覚悟の剣","30511542"
"Mog","Love Serenade","","Fond Memories","WHT","Single ally","Magical","3.00","Holy","0.01","Restores HP (80), grants [High Regen], damages undeads","N","Lowest HP% ally","50","White Magic","あいのおもいで","30511521"
"Mog","Love Serenade","","Moogle Justice","WHT","Single enemy","Magical","10.60","Holy","1.65","One single attack (10.60), [MAG -50%] for 25 seconds","Y","Lowest HP% enemy","50","White Magic","おおしきせいぎかん","30511522"
"Edgar","Bio Chainsaw","","Bio Attack","PHY","Single enemy","Physical","1.96","Poison, NE","1.65","Four single ranged attacks (0.49 each), causes [Poison] (7%), [Blind] (7%) and [Silence] (7%)","Y","Lowest HP% enemy","50","Machinist","バイオアタック","30511131"
"Edgar","Bio Chainsaw","","Bio Bomb","PHY","All enemies","Physical","1.40","Poison, NE","1.65","Two group ranged attacks (0.70 each), causes [Poison] (11%), [Blind] (11%) and [Silence] (11%)","Y","All enemies","50","Machinist","バイオボム","30511132"
"Edgar","Trifecta Drill","","Enfeebling Flame","PHY","Single enemy","Physical","1.54","Poison, Fire","0.83","Two single ranged attacks (0.77 each), 20% chance to cause [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","50","Machinist","ウィークメイク・炎","30512501"
"Edgar","Trifecta Drill","","Enfeebling Bolt","PHY","Single enemy","Physical","1.54","Poison, Lightning","0.83","Two single ranged attacks (0.77 each), 20% chance to cause [Imperil Lightning 10%] for 15 seconds","Y","Lowest HP% enemy","50","Machinist","ウィークメイク・雷","30512502"
"Sabin","Perdition's Phoenix","","Flame Cannon","PHY","Single enemy","Physical","1.60","Fire, NE","1.65","Four single attacks (0.40 each), [ATK and DEF +10%/20%/30%/40%/50%/60%/70%/80%] scaling with uses to the user for 25 seconds","Y","Lowest HP% enemy","50","Monk","フレイムキャノン","30510591"
"Sabin","Perdition's Phoenix","","Flame Volley","PHY","All enemies","Physical","1.50","Fire, NE","1.65","Two group attacks (0.75 each)","Y","All enemies","50","Monk","ファイアストライク","30510592"
"Shadow","Shuriken Storm","","Mark for Death","PHY","Single enemy","Physical","1.88","Dark, NE","0.83","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Ninja","瞬斬","30510581"
"Shadow","Shuriken Storm","","Dance with Death","PHY","All enemies","Physical","1.20","Dark, NE","0.83","Two group attacks (0.60 each)","Y","All enemies","50","Ninja","乱舞術","30510582"
"Cyan","Bushido Tempest","","Doma Dragon Claw","PHY","Single enemy","Physical","2.40","NE","1.65","One single attack (2.40), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","50","Samurai","ドマ流剣技・竜爪","30511161"
"Cyan","Bushido Tempest","","Doma Double-Edged Sword","PHY","Single enemy","Physical","2.52","NE","1.65","Four single attacks (0.63 each), grants [Dark Bargain] to the user for 20 seconds","Y","Lowest HP% enemy","50","Samurai","ドマ流剣技・諸刃","30511162"
"Gau","Maul of the Wild","","Feral Flame","PHY","-","","","","1.65","Casts a random Feral Flame attack, grants [Rage] to the user for 2 turns","Y","-","50","Combat","あばれる・炎","30511871"
"Gau","Maul of the Wild","","Feral Healing","NAT","-","","","","1.65","Casts a random Feral Healing attack, grants [Rage] to the user for 2 turns","N","-","50","Special","あばれる・回復","30511872"
"Setzer","Mostly Megaflare","","Card Trick","PHY","Single enemy","Physical","2.10","NE","1.65","One single ranged attack (2.10), [ATK and DEF -20%] for 15 seconds","Y","Random enemy","50","Support","カードトリック","30511151"
"Setzer","Mostly Megaflare","","Magic Mystique","PHY","Single enemy","Physical","2.10","NE","1.65","One single ranged attack (2.10), [MAG and RES -20%] for 15 seconds","Y","Random enemy","50","Support","マジックミステイク","30511152"
"Strago","Lore","","Aquatic Shard","BLK","Single enemy","Magical","8.68","Water, Earth","1.65","Four single attacks (2.17 each), grants [Magical Blink 1] to a random ally without status","Y","Lowest HP% enemy","50","Black Magic","アクアストーン","30511511"
"Strago","Lore","","Aquatic Gale","BLK","Single enemy","Magical","46.00","Water, Wind","1.65","Two single attacks (23.00 each), ignores RES","Y","Lowest HP% enemy","50","Black Magic","アクアウィンド","30511512"
"Relm","Star Prism","","Rainbow Aura","WHT","Single ally","Magical","4.00","Holy","0.01","Restores HP (105), damages undeads","Y","Lowest HP% ally","50","White Magic","レインボードロー","30510571"
"Relm","Star Prism","","Miracle Stroke","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","ミラクルスプレー","30510572"
"Gogo (VI)","Punishing Meteor","","Quick Mime","NAT","-","","","","0.83","Casts the last ability used by any ally, default ability (PHY: single, 1.50 physical)","N","-","180","Special","クイックミミック","30511851"
"Gogo (VI)","Punishing Meteor","","Adapting Attack","NAT","Single enemy","Hybrid","-","NE","1.65","Four single hybrid attacks (0.68 or 2.67 each)","Y","Lowest HP% enemy","50","Special","へんげんアタック","30511852"
"Umaro","Master's Voice","","Take Aim","NAT","Single ally","","","","1.65","Restores HP for 40% of the target's maximum HP, grants [Instant Cast 1]","Y","Lowest HP% ally","50","Monk","なげつける","30511861"
"Umaro","Master's Voice","","Frozen Mist","PHY","Single enemy","Physical","1.95","Ice, NE","1.65","Three single attacks (0.65 each), grants [Hailstorm] to the user for 20 seconds","Y","Lowest HP% enemy","50","Monk","フローズンミスト","30511862"
"Kefka","Symphony of Madness","","Total Destruction","BLK","Single enemy","Magical","8.96","Poison, Dark","1.65","Four single attacks (2.24 each)","Y","Lowest HP% enemy","50","Black Magic","ゼンブハカイ","30511141"
"Kefka","Symphony of Madness","","Dancing Clown","NAT","All enemies","","","","1.65","[ATK -40%] for 15 seconds, causes [Slow] (20%)","Y","All enemies","50","Dancer","ピエロダンス","30511142"
"Kefka","Harness the Fiend","","Mad Delights","BLK","Single enemy","Magical","4.40","Dark, Poison","1.65","Two single attacks (2.20 each), causes [Madness -10%/-20%/30%/-30%] for 25 seconds scaling with uses","Y","Random enemy without status","50","Black Magic","狂気のたわむれ","30511941"
"Kefka","Harness the Fiend","","Way of the Fiend","BLK","Single enemy","Magical","6.90","Dark, Poison","1.65","3/4/5/6 single attacks (2.30/2.35/2.40/3.00 each) scaling with Mad Delights uses","Y","Lowest HP% enemy","50","Black Magic","まじんもどき","30511942"
"Leo","Warrior's Warrior","","Knight's Ambition","PHY","Single enemy","Physical","2.40","Holy, Earth","1.65","Two single attacks (1.20 each), grants [Knight Quick Cast 2] to the user","Y","Lowest HP% enemy","50","Knight","騎士の本懐","30511531"
"Leo","Warrior's Warrior","","General's Pride","PHY","All enemies","Physical","1.50","Holy, Earth","1.65","Two group attacks (0.75 each), grants [Sentinel] to the user","Y","All enemies","50","Knight","将軍の矜持","30511532"
"Cloud","Fenrir Overdrive","","Whirl Slash","PHY","All enemies","Physical","1.40","NE","1.65","Two group attacks (0.70 each), 80% additional critical chance","Y","All enemies","50","Combat","回転斬り","30511011"
"Cloud","Fenrir Overdrive","","Quad Cut","PHY","Single enemy","Physical","2.00","NE","1.65","Four single attacks (0.50 each), 80% additional critical chance","Y","Lowest HP% enemy","50","Combat","連斬り","30511021"
"Cloud","Cloud Cycle","","Sonic Rush","PHY","Single enemy","Physical","0.56","Wind, NE","1.65","Four single attacks (0.14~0.65 each scaling with ATK)","Y","Lowest HP% enemy","50","Combat","ソニックラッシュ","30511061"
"Cloud","Cloud Cycle","","Slashing Blow","PHY","All enemies","Physical","1.30","Wind, NE","1.65","Two group attacks (0.65 each), grants [Dark Bargain] to the user for 20 seconds","Y","All enemies","50","Combat","スラッシュブロウ","30511062"
"Cloud","Sonic Blade (KH)","","Darkness Blast","PHY","Single enemy","Physical","1.50","Dark, Wind","1.65","Three single attacks (0.50 each), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","50","Combat","ダークネスブラスト","30512611"
"Cloud","Sonic Blade (KH)","","Dark Gleam","PHY","Single enemy","Physical","1.68","Dark, Wind","1.65","Three single attacks (0.56 each), grants [Heavy Charge +1] to the user","Y","Lowest HP% enemy","50","Heavy","邪晄撃","30512612"
"Barret","Massive Hammerblow","","Breakdown Bomb","PHY","Single enemy","Physical","2.40","NE","1.65","Two single ranged attacks (1.20 each), [ATK -50%] for 15 seconds","Y","Random enemy without status","50","Support","ブレイクボム","30511691"
"Barret","Massive Hammerblow","","Breakdown Launcher","PHY","Single enemy","Physical","2.40","NE","1.65","Two single ranged attacks (1.20 each), [MAG -40%] for 15 seconds","Y","Random enemy without status","50","Support","ブレイクランチャー","30511692"
"Tifa","Meteor Crusher","","Falcon's Dive","PHY","All enemies","Physical","1.50","Earth, NE","1.65","Two group attacks (0.75 each)","Y","All enemies","50","Monk","ファルコンダイブ","30510201"
"Tifa","Meteor Crusher","","Elbow Smash","PHY","Single enemy","Physical","2.16","Earth, NE","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Monk","エルボースマッシュ","30510202"
"Tifa","Rolling Blaze","","Falcon Rush","PHY","Single enemy","Physical","1.88","Earth, NE","0.83","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Monk","ファルコンラッシュ","30512161"
"Tifa","Rolling Blaze","","Gaia Arrow","PHY","Single enemy","Physical","1.10","Earth, NE","0.83","One single attack (1.10), grants [50% Critical] to the user for 15 seconds","Y","Lowest HP% enemy","50","Monk","ガイアアロー","30512162"
"Aerith","White Materia","","Wonders of the Cetra","WHT","Single ally","Magical","4.00","Holy","1.65","Restores HP (105), damages undeads, [MND +30%] for 25 seconds","Y","Lowest HP% ally","50","White Magic","セトラの神秘","30510291"
"Aerith","White Materia","","Paean to Gaia","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","星に捧ぐ祈り","30510292"
"Aerith","Prayer of Salvation","","Breath of the Planet","WHT","Single ally","Magical","4.00","Holy","0.01","Restores HP (105), damages undeads","Y","Lowest HP% ally","50","White Magic","星廻る息吹","30512031"
"Aerith","Prayer of Salvation","","Blessing of the Ancients","NAT","Single ally","","","","1.65","[ATK and RES +30%] for 20 seconds, grants [High Regen]","Y","Random ally without status","50","White Magic","古代種の祝福","30512032"
"Red XIII","Cosmo Canyon","","Steelbreak Howl","PHY","Single enemy","Physical","2.00","NE","0.83","One single attack (2.00), [DEF -40%] for 15 seconds","Y","Random enemy without status","50","Support","ブレイクハウリング","30511031"
"Red XIII","Cosmo Canyon","","Stone Fang","PHY","Single enemy","Physical","2.00","NE","0.83","One single attack (2.00), [RES -50%] for 15 seconds","Y","Random enemy without status","50","Support","ブレイクファング","30511032"
"Yuffie","Guardian of Wutai","","Riptide","PHY","Single enemy","Physical","1.88","Water, NE","0.83","Four single ranged attacks (0.47 each)","Y","Lowest HP% enemy","50","Ninja","水遁・散切の術","30510621"
"Yuffie","Guardian of Wutai","","Eroding Wave","PHY","Single enemy","Physical","1.72","Water, NE","1.65","Two single ranged attacks (0.86 each), [ATK and DEF -20%] for 20 seconds, [ATK and DEF +20%] to the user for 20 seconds","Y","Random enemy without status","50","Ninja","水遁・浸蝕の術","30510622"
"Yuffie","Doom of the Living","","Way of the Mirror","PHY","Single enemy","Physical","1.50","Water, NE","0.83","Two single ranged attacks (0.75 each), grants [Physical Blink 1] to the user","Y","Lowest HP% enemy","50","Ninja","水遁・分身の術","30512011"
"Yuffie","Doom of the Living","","Cup Overflowing","PHY","Single enemy","Physical","1.66","Water, NE","0.83","One single ranged attack (1.66), smart ether 1 to the user","Y","Lowest HP% enemy","50","Ninja","水遁・豊水の術","30512012"
"Cait Sith","Lucky Girl","","Toy Box Hammer","WHT","Single enemy","Magical","10.70","NE","1.65","Two single attacks (5.35 each), [ATK and DEF -20%] for 25 seconds","Y","Lowest HP% enemy","50","White Magic","トイボックス・ハンマー","30511461"
"Cait Sith","Lucky Girl","","Toy Box Fat Chocobo","WHT","Single enemy","Magical","10.70","NE","1.65","Two single attacks (5.35 each), [MAG and RES -20%] for 25 seconds","Y","Lowest HP% enemy","50","White Magic","トイボックス・デブチョコボ","30511462"
"Vincent","Galian Beast","","Claws of the Damned","PHY","Single enemy","Physical","2.60","Fire, NE","1.65","Four single attacks (0.47 each), 0.65 multiplier if the user has any Doom","Y","Lowest HP% enemy","50","Darkness","魔障の爪","30511081"
"Vincent","Galian Beast","","Howl of the Damned","BLK","Single enemy","Magical","11.44","Fire, NE","1.65","Four single attacks (2.04 each), 2.86 multiplier if the user has any Doom","Y","Lowest HP% enemy","50","Darkness","魔獣の咆哮","30511082"
"Vincent","Flame Penalty","","Brimming Chaos","NAT","Single enemy","Hybrid","-","Fire, NE","1.65","Four single hybrid ranged attacks (0.67 or 2.63 each)","Y","Lowest HP% enemy","50","Darkness","カオスリムファイア","30512691"
"Vincent","Flame Penalty","","Dual Slugs","NAT","Single enemy","Hybrid","-","Fire, NE","1.65","Three single hybrid ranged attacks (0.66 or 2.65 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","50","Darkness","ヘテロスラッグ","30512692"
"Zack","Meteor Shots","","Eye of the Tornado","PHY","Single enemy","Physical","1.88","Wind, NE","0.60","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Celerity","トルネドターン","30510611"
"Zack","Meteor Shots","","Blast Rush","PHY","All enemies","Physical","1.20","Wind, NE","0.60","Two group attacks (0.60 each)","Y","All enemies","50","Celerity","ブラストラッシュ","30510612"
"Sephiroth","Reunion","","Despair","PHY","Single enemy","Physical","24.50","NE","1.65","Two single attacks (12.25 each), ignores DEF","Y","Lowest HP% enemy","50","Combat","絶望","30510101"
"Sephiroth","Reunion","","Perdition's Flame","PHY","Single enemy","Physical","2.52","Fire, NE","1.65","Four single attacks (0.63 each)","Y","Lowest HP% enemy","50","Combat","炎獄","30510102"
"Sephiroth","Octaslash","","Black Wing","PHY","Single enemy","Physical","3.00","Dark, NE","1.65","3/4/5 single attacks (0.60 each) at 750/1180 ATK","Y","Lowest HP% enemy","50","Darkness","黒翼","30511471"
"Sephiroth","Octaslash","","Fallen Angel","PHY","All enemies","Physical","1.30","Dark, NE","1.65","Two group attacks (0.65 each), grants [Dark Bargain] to the user for 20 seconds","Y","All enemies","50","Darkness","堕天","30511472"
"Cid (VII)","Dragon Dive","","Aeroboost","PHY","Single enemy","Physical","2.08","Wind","1.65","Four single attacks (0.52 each), five attacks if exploiting elemental weakness","Y","Lowest HP% enemy","50","Combat","エアロブースト","30511071"
"Cid (VII)","Dragon Dive","","Wind Force","PHY","All enemies","Physical","1.26","Wind","1.65","Two group attacks (0.63 each), three attacks if exploiting elemental weakness","Y","All enemies","50","Combat","ウインドフォース","30511072"
